<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83873</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : FRAIBURGO - SC (OMM: 83873)
Latitude  (graus) : -27.05
Longitude (graus) : -50.93
Altitude  (metros): 1145.00
Esta��o Desativada
Inicio de opera��o: 01/01/1972
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83873;01/01/1973;1200;20.5;18;78;;5;3;10;
83873;01/01/1973;1800;23;21;84;;32;3;10;
83873;02/01/1973;0000;18;17;90;;5;1;10;
83873;02/01/1973;1200;21.5;19;79;;5;5;6;
83873;02/01/1973;1800;26.3;20.8;61;;5;5;8;
83873;03/01/1973;0000;22;20;83;;23;1;10;
83873;03/01/1973;1200;23.5;21.1;81;;5;1;5;
83873;03/01/1973;1800;25;23.5;89;;5;3;2;
83873;04/01/1973;0000;21;19.6;87;;5;3;10;
83873;04/01/1973;1200;20;19;91;;32;3;10;
83873;04/01/1973;1800;23.5;20.7;78;;32;7;8;
83873;05/01/1973;0000;20;19;91;;32;1;0;
83873;05/01/1973;1200;22.6;20.5;83;;32;9;7;
83873;05/01/1973;1800;24;22.5;87;;32;5;10;
83873;06/01/1973;0000;16;15;89;;32;3;8;
83873;06/01/1973;1200;17;15.6;86;;23;1;10;
83873;06/01/1973;1800;20.4;16.4;66;;32;12;5;
83873;07/01/1973;0000;20.2;17;72;;23;1;3;
83873;07/01/1973;1200;22.2;18.2;68;;5;3;2;
83873;07/01/1973;1800;23;22.5;96;;5;1;10;
83873;08/01/1973;0000;23.8;20;70;;32;1;10;
83873;08/01/1973;1200;19.4;17.6;84;;32;3;10;
83873;08/01/1973;1800;22.1;21;90;;32;3;7;
83873;09/01/1973;0000;18.5;16.5;81;;5;5;10;
83873;09/01/1973;1200;18;17.6;96;;32;1;10;
83873;09/01/1973;1800;19.5;18;86;;32;1;10;
83873;10/01/1973;0000;17.8;17.5;97;;32;1;10;
83873;10/01/1973;1200;21.5;19.5;83;;32;1;0;
83873;10/01/1973;1800;24.8;21.5;74;;32;5;10;
83873;11/01/1973;0000;19.4;18.4;90;;5;1;8;
83873;11/01/1973;1200;22;19.7;81;;32;3;3;
83873;11/01/1973;1800;27.3;21.4;57;;32;9;5;
83873;12/01/1973;0000;18.5;18;95;;5;3;7;
83873;12/01/1973;1200;23.4;20.6;78;;32;1;0;
83873;12/01/1973;1800;21;20;91;;5;3;8;
83873;13/01/1973;0000;24.3;21;74;;32;1;10;
83873;13/01/1973;1200;25;21.7;75;;32;5;0;
83873;13/01/1973;1800;20.4;19.2;90;;5;3;10;
83873;14/01/1973;0000;20.3;18.3;83;;5;1;8;
83873;14/01/1973;1200;24;21.3;78;;32;5;3;
83873;14/01/1973;1800;23.7;20.4;73;;23;3;10;
83873;15/01/1973;0000;19;18;91;;5;1;10;
83873;15/01/1973;1200;18.5;17.8;93;;23;7;10;
83873;15/01/1973;1800;19.1;18;89;;5;1;10;
83873;16/01/1973;0000;17.8;17.3;95;;14;7;6;
83873;16/01/1973;1200;15.7;14.5;87;;5;9;6;
83873;16/01/1973;1800;20.6;17.4;72;;5;3;5;
83873;17/01/1973;0000;15.5;15;94;;5;3;0;
83873;17/01/1973;1200;17.2;14.4;73;;5;1;0;
83873;17/01/1973;1800;24.6;18.6;56;;14;1;4;
83873;18/01/1973;0000;18.2;16;79;;5;12;3;
83873;18/01/1973;1200;17.8;15.2;76;;5;3;2;
83873;18/01/1973;1800;26;20;57;;23;3;0;
83873;19/01/1973;0000;19.5;17.5;82;;5;5;0;
83873;19/01/1973;1200;19.2;17.5;84;;5;3;8;
83873;19/01/1973;1800;26.2;21;62;;23;1;6;
83873;20/01/1973;0000;21.8;19;77;;14;1;10;
83873;20/01/1973;1200;20.1;19.5;94;;5;1;10;
83873;20/01/1973;1800;18;17;90;;5;5;10;
83873;21/01/1973;0000;19.2;19;98;;5;12;10;
83873;21/01/1973;1200;20;18.2;84;;14;1;10;
83873;21/01/1973;1800;22;19.1;76;;32;3;4;
83873;22/01/1973;0000;19.5;18.5;91;;14;1;6;
83873;22/01/1973;1200;20.8;20;93;;32;3;6;
83873;22/01/1973;1800;19;18.1;91;;5;3;10;
83873;23/01/1973;0000;19.3;19;97;;5;3;6;
83873;23/01/1973;1200;21;19.5;87;;32;1;8;
83873;23/01/1973;1800;25;23.2;87;;5;3;6;
83873;24/01/1973;0000;27.5;26;88;;32;1;5;
83873;24/01/1973;1200;23;20.3;78;;23;5;5;
83873;24/01/1973;1800;26.3;21;62;;5;1;5;
83873;25/01/1973;0000;22.1;20.3;85;;5;3;3;
83873;25/01/1973;1200;19.7;18.5;89;;23;3;7;
83873;25/01/1973;1800;22.3;20.3;84;;32;1;10;
83873;26/01/1973;0000;17.4;15.5;82;;14;9;8;
83873;26/01/1973;1200;15.5;14.4;88;;5;5;10;
83873;26/01/1973;1800;20.6;18;77;;5;5;7;
83873;27/01/1973;0000;16.5;15.4;89;;5;7;8;
83873;27/01/1973;1200;18;16;81;;5;3;4;
83873;27/01/1973;1800;26.1;19.7;54;;14;3;6;
83873;28/01/1973;0000;20.6;19;87;;5;1;4;
83873;28/01/1973;1200;19.5;18.3;88;;32;1;2;
83873;28/01/1973;1800;25.1;22.1;77;;5;5;0;
83873;29/01/1973;0000;20.8;18.4;80;;14;7;0;
83873;29/01/1973;1200;20.3;19;88;;5;3;10;
83873;29/01/1973;1800;18.5;18;95;;5;5;10;
83873;30/01/1973;0000;17.3;17;97;;5;3;10;
83873;30/01/1973;1200;16.6;16;94;;5;5;10;
83873;30/01/1973;1800;19.4;17.4;82;;32;1;10;
83873;31/01/1973;0000;16.5;16;95;;5;5;10;
83873;31/01/1973;1200;18.2;17.3;91;;5;3;7;
83873;31/01/1973;1800;23.8;19.5;66;;32;1;10;
83873;01/02/1973;0000;18.3;17.5;92;;14;7;10;
83873;01/02/1973;1200;19.2;17.5;84;;5;3;6;
83873;01/02/1973;1800;24.6;20.2;66;;32;3;0;
83873;02/02/1973;0000;19.5;17.3;80;;5;7;6;
83873;02/02/1973;1200;19.3;17.3;82;;5;5;7;
83873;02/02/1973;1800;26.3;23;75;;36;1;5;
83873;03/02/1973;0000;21;19;83;;5;3;0;
83873;03/02/1973;1200;22.8;22;93;;32;1;0;
83873;03/02/1973;1800;27.3;21.6;59;;32;1;10;
83873;04/02/1973;0000;22.3;20.3;84;;5;3;10;
83873;04/02/1973;1200;23.1;21.1;84;;32;1;4;
83873;04/02/1973;1800;24.5;22.5;84;;5;3;5;
83873;05/02/1973;0000;22;20.4;87;;23;5;3;
83873;05/02/1973;1200;19.4;18;86;;5;5;6;
83873;05/02/1973;1800;21.2;19;81;;36;3;5;
83873;06/02/1973;0000;18.2;17.6;94;;32;5;10;
83873;06/02/1973;1200;17.7;17;93;;5;3;10;
83873;06/02/1973;1800;24.1;20.4;70;;14;1;6;
83873;07/02/1973;0000;16.8;16.5;97;;5;5;8;
83873;07/02/1973;1200;17.5;15.3;79;;32;3;5;
83873;07/02/1973;1800;26.3;20.5;59;;23;1;3;
83873;08/02/1973;0000;21;17.8;72;;5;4;0;
83873;08/02/1973;1200;21;18.5;79;;32;4;2;
83873;08/02/1973;1800;28.8;21.8;54;;32;3;4;
83873;09/02/1973;0000;22.4;20.7;87;;32;3;0;
