<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83876</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SANTA ROSA - RS (OMM: 83876)
Latitude  (graus) : -27.86
Longitude (graus) : -54.43
Altitude  (metros): 360.00
Esta��o Desativada
Inicio de opera��o: 01/01/1922
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83876;01/01/1961;1200;24;22.5;87;;5;1;8;
83876;01/01/1961;1800;31.2;24.9;59;;27;1;5;
83876;02/01/1961;0000;27.4;24.9;80;;0;0;0;
83876;02/01/1961;1200;27.5;24.5;77;;32;1;0;
83876;02/01/1961;1800;33.5;25.5;51;;23;1;5;
83876;03/01/1961;0000;26.4;24;81;;14;1;8;
83876;03/01/1961;1200;27.5;23.9;72;;9;3;0;
83876;03/01/1961;1800;34.5;25.6;48;;27;3;7;
83876;04/01/1961;0000;20.4;19.9;95;;9;3;10;
83876;04/01/1961;1200;20;19.5;95;;18;1;10;
83876;04/01/1961;1800;28.7;23.2;62;;18;1;6;
83876;05/01/1961;0000;24.5;22.5;83;;0;0;4;
83876;05/01/1961;1200;25;21;69;;5;3;3;
83876;05/01/1961;1800;31.1;24.5;57;;36;1;8;
83876;06/01/1961;0000;21.7;20.5;89;;36;1;10;
83876;06/01/1961;1200;20;19.8;98;;18;1;10;
83876;06/01/1961;1800;26.5;21.2;61;;18;3;8;
83876;07/01/1961;0000;22.5;20.9;86;;0;0;6;
83876;07/01/1961;1200;23.1;19.9;73;;9;3;3;
83876;07/01/1961;1800;29;21.2;48;;9;1;6;
83876;08/01/1961;0000;24.5;20.5;69;;9;1;0;
83876;08/01/1961;1200;24.4;21;72;;5;1;4;
83876;08/01/1961;1800;31.5;24.3;54;;27;3;8;
83876;09/01/1961;0000;26.5;24.7;86;;0;0;0;
83876;09/01/1961;1200;27;23.4;72;;5;3;4;
83876;09/01/1961;1800;32.8;25.5;55;;36;5;8;
83876;10/01/1961;0000;28.8;24.8;71;;5;1;3;
83876;10/01/1961;1200;25.5;23.5;84;;36;3;10;
83876;10/01/1961;1800;21.5;21;95;;36;3;9;
83876;11/01/1961;0000;21.9;21.1;93;;14;1;0;
83876;11/01/1961;1200;24.5;22;79;;9;1;4;
83876;11/01/1961;1800;31.1;24.4;56;;14;3;4;
83876;12/01/1961;0000;25.9;23;77;;14;1;0;
83876;12/01/1961;1200;26.2;22.9;74;;5;3;0;
83876;12/01/1961;1800;33.5;25.9;53;;5;3;5;
83876;13/01/1961;0000;28.5;25.9;80;;0;0;0;
83876;13/01/1961;1200;27.2;23;69;;5;1;2;
83876;13/01/1961;1800;34.2;24.1;41;;5;1;5;
83876;14/01/1961;0000;29.5;24;62;;5;1;4;
83876;14/01/1961;1200;27.5;23.1;68;;5;3;8;
83876;14/01/1961;1800;31.9;24.7;54;;36;7;9;
83876;15/01/1961;0000;28.4;25;75;;32;1;10;
83876;15/01/1961;1200;28;24;70;;5;3;9;
83876;15/01/1961;1800;33.5;25.9;53;;5;1;9;
83876;16/01/1961;0000;28.6;24.7;71;;0;0;6;
83876;16/01/1961;1200;29.3;25.6;73;;32;3;8;
83876;16/01/1961;1800;26.5;21.2;61;;18;3;8;
83876;17/01/1961;0000;30.5;25.5;66;;5;1;4;
83876;17/01/1961;1200;28.5;23.9;67;;36;5;4;
83876;17/01/1961;1800;33.5;27;58;;32;5;10;
83876;18/01/1961;0000;20.5;20.1;96;;32;5;10;
83876;18/01/1961;1200;24.5;22.3;81;;9;1;3;
83876;18/01/1961;1800;31.2;25.8;64;;5;1;8;
83876;19/01/1961;0000;27;24.4;80;;14;1;3;
83876;19/01/1961;1200;27;24.5;81;;5;1;1;
83876;19/01/1961;1800;32;26.7;65;;32;3;10;
83876;20/01/1961;0000;27;24.9;83;;0;0;4;
83876;20/01/1961;1200;28;25;77;;32;3;1;
83876;20/01/1961;1800;35.1;26.3;49;;5;3;4;
83876;21/01/1961;0000;29.4;26.6;80;;36;1;2;
83876;21/01/1961;1200;28;26;85;;5;1;6;
83876;21/01/1961;1800;28.4;25;75;;5;1;10;
83876;22/01/1961;0000;25;23.1;85;;23;3;10;
83876;22/01/1961;1200;26.5;23.4;75;;9;3;8;
83876;22/01/1961;1800;29.5;25;68;;18;5;9;
83876;23/01/1961;0000;25.4;21.6;71;;18;3;9;
