<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83881</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : IRAI - RS (OMM: 83881)
Latitude  (graus) : -27.18
Longitude (graus) : -53.23
Altitude  (metros): 247.10
Esta��o Operante
Inicio de opera��o: 01/06/1935
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83881;01/01/1961;1200;25.6;23;79;978;9;2;5;
83881;01/01/1961;1800;33;25;50;975.5;36;2;3;
83881;02/01/1961;0000;24.2;23.4;93;978.2;0;0;5;
83881;02/01/1961;1200;27.8;25.4;81;977.5;5;2;5;
83881;02/01/1961;1800;32.4;25;53;975.8;5;1;3;
83881;03/01/1961;0000;24.6;24;95;978.3;0;0;3;
83881;03/01/1961;1200;26.2;24.2;85;978;5;1;3;
83881;03/01/1961;1800;35.2;26;46;975;36;2;3;
83881;04/01/1961;0000;21;20.4;94;978.8;5;2;10;
83881;04/01/1961;1200;22.8;21.8;91;979.6;5;2;7;
83881;04/01/1961;1800;32;24;49;979;14;1;5;
83881;05/01/1961;0000;22.4;21.2;90;979.5;0;0;0;
83881;05/01/1961;1200;26.6;23.6;77;979.9;5;2;0;
83881;05/01/1961;1800;35.2;25.6;44;974.2;32;2;4;
83881;06/01/1961;0000;24;21.8;81;976.7;32;3;10;
83881;06/01/1961;1200;19.2;19;98;975.5;0;0;10;
83881;06/01/1961;1800;25.4;23.2;83;977.6;5;2;3;
83881;07/01/1961;0000;22;21.2;95;981.5;0;0;7;
83881;07/01/1961;1200;24.2;21;74;982.7;5;2;3;
83881;07/01/1961;1800;30.6;24.6;60;979.6;5;1;3;
83881;08/01/1961;0000;20.8;19.8;91;980.6;0;0;0;
83881;08/01/1961;1200;26.2;21.8;66;982.2;5;3;0;
83881;08/01/1961;1800;31.6;25;57;980.3;5;1;3;
83881;09/01/1961;0000;23;22.8;98;980.4;0;0;0;
83881;09/01/1961;1200;27.6;24.2;75;982.2;5;2;3;
83881;09/01/1961;1800;33.4;25.6;52;978.3;5;2;3;
83881;10/01/1961;0000;25;24.8;98;977.2;0;0;0;
83881;10/01/1961;1200;27.6;24.6;78;981.1;5;1;7;
83881;10/01/1961;1800;20.2;20;98;981.5;5;3;10;
