<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83883</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CHAPECO - SC (OMM: 83883)
Latitude  (graus) : -27.11
Longitude (graus) : -52.61
Altitude  (metros): 679.01
Esta��o Operante
Inicio de opera��o: 10/05/1973
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83883;01/07/1973;1200;15;14.8;98;941.6;32;3;10;
83883;01/07/1973;1800;16;15.4;94;938.2;27;3;10;
83883;02/07/1973;0000;14.5;14.2;96;940.2;9;1;10;
83883;02/07/1973;1200;12.4;12.2;97;943.1;9;1;10;
83883;02/07/1973;1800;16.2;14.4;81;942.4;9;1;9;
83883;03/07/1973;0000;13.1;13.1;100;944;18;1;10;
83883;03/07/1973;1200;12.9;12.5;95;944.6;5;1;10;
83883;03/07/1973;1800;16.4;13.8;74;943.6;32;3;3;
83883;04/07/1973;0000;13;12.2;90;945;9;1;0;
83883;04/07/1973;1200;13;11.6;84;944.4;9;3;0;
83883;04/07/1973;1800;21.6;14.8;45;944;36;3;0;
83883;05/07/1973;0000;16;13.4;74;943.8;9;3;0;
83883;05/07/1973;1200;13.4;12.7;92;945.8;9;3;3;
83883;05/07/1973;1800;21;17;66;944.7;9;1;9;
83883;06/07/1973;0000;17.5;15;75;945.5;9;3;7;
83883;06/07/1973;1200;14.7;12.9;81;946.3;9;3;4;
83883;06/07/1973;1800;24.9;17.8;47;943.4;5;3;8;
83883;07/07/1973;0000;18.7;14.5;62;943.4;5;3;8;
83883;07/07/1973;1200;16.6;13.8;75;942;5;5;8;
83883;07/07/1973;1800;22.6;17.4;58;938.8;36;5;6;
83883;08/07/1973;0000;21;16.8;64;939.4;36;9;6;
83883;08/07/1973;1200;20;17;74;941.6;36;9;3;
83883;08/07/1973;1800;26.7;19.5;49;939.6;36;9;3;
83883;09/07/1973;0000;22.2;18;66;939.6;5;5;0;
83883;09/07/1973;1200;21.1;16.4;60;938.4;36;7;0;
