<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83885</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : MARCELINO RAMOS - RS (OMM: 83885)
Latitude  (graus) : -27.45
Longitude (graus) : -51.9
Altitude  (metros): 414.17
Esta��o Desativada
Inicio de opera��o: 01/01/1916
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83885;01/01/1961;1200;25.2;23;82;;14;1;8;
83885;01/01/1961;1800;31.2;26;65;;14;1;6;
83885;02/01/1961;0000;25;22.2;78;;14;2;3;
83885;02/01/1961;1200;26.4;23.2;75;;14;2;1;
83885;02/01/1961;1800;32;26.4;64;;9;1;5;
83885;03/01/1961;0000;25.4;21.6;71;;14;1;0;
83885;03/01/1961;1200;27.2;23.8;74;;14;1;0;
83885;03/01/1961;1800;34.4;27;55;;14;1;3;
83885;04/01/1961;0000;22.2;20.6;86;;14;1;10;
83885;04/01/1961;1200;24.6;21.6;76;;14;1;3;
83885;04/01/1961;1800;29.4;23.8;62;;14;1;8;
83885;05/01/1961;0000;23;20.2;77;;14;1;2;
83885;05/01/1961;1200;26.2;21.4;64;;14;2;1;
83885;05/01/1961;1800;32.8;23.8;46;;14;2;7;
83885;06/01/1961;0000;26.2;23;75;;0;0;10;
83885;06/01/1961;1200;19.4;18.8;94;;32;2;10;
83885;06/01/1961;1800;25.2;21.4;71;;32;2;9;
83885;07/01/1961;0000;20.6;19;86;;0;0;2;
83885;07/01/1961;1200;24;19.6;66;;14;2;3;
83885;07/01/1961;1800;29.4;21.4;47;;14;1;2;
83885;08/01/1961;0000;22.2;19.4;76;;0;0;0;
83885;08/01/1961;1200;25.6;20;58;;14;3;0;
83885;08/01/1961;1800;31.4;22.6;45;;14;2;3;
83885;09/01/1961;0000;24.6;21.2;73;;0;0;0;
83885;09/01/1961;1200;27.2;21.2;57;;9;2;6;
83885;09/01/1961;1800;32.6;24.2;49;;14;1;4;
83885;10/01/1961;0000;27;23.2;71;;0;0;8;
83885;10/01/1961;1200;25.6;22.6;77;;14;1;10;
83885;10/01/1961;1800;20.6;19.6;91;;14;1;10;
83885;11/01/1961;0000;20;19.2;93;;0;0;10;
83885;11/01/1961;1200;21;19.4;85;;14;1;10;
83885;11/01/1961;1800;32;24.6;54;;14;1;2;
83885;12/01/1961;0000;25;22;76;;0;0;0;
83885;12/01/1961;1200;27.4;22.2;63;;9;2;1;
83885;12/01/1961;1800;32.4;23.2;44;;14;1;2;
83885;13/01/1961;0000;25;21.4;72;;0;0;0;
83885;13/01/1961;1200;27.6;21.8;59;;14;2;0;
83885;13/01/1961;1800;33.4;24;44;;14;2;3;
83885;14/01/1961;0000;26.4;22;68;;0;0;0;
83885;14/01/1961;1200;27;22;64;;14;2;6;
83885;14/01/1961;1800;34;24.6;45;;32;2;7;
83885;15/01/1961;0000;25.6;23;79;;0;0;7;
83885;15/01/1961;1200;30.2;25.4;67;;9;1;4;
83885;15/01/1961;1800;31;24.8;60;;14;2;8;
83885;16/01/1961;0000;28;24.2;72;;14;1;4;
83885;16/01/1961;1200;26.2;23;75;;14;1;6;
83885;16/01/1961;1800;34.6;25.4;47;;9;1;8;
83885;17/01/1961;0000;23;21.6;88;;14;1;10;
83885;17/01/1961;1200;26.2;24;83;;14;1;4;
83885;17/01/1961;1800;28.4;24.6;73;;14;1;9;
83885;18/01/1961;0000;24;21.6;80;;0;0;10;
83885;18/01/1961;1200;24.2;22;82;;14;1;10;
83885;18/01/1961;1800;31.4;24.6;57;;14;1;7;
83885;19/01/1961;0000;25;23.4;87;;14;1;10;
83885;19/01/1961;1200;28;23.6;68;;14;1;2;
83885;19/01/1961;1800;33.8;25;48;;32;2;5;
83885;20/01/1961;0000;26.2;23.2;77;;0;0;4;
83885;20/01/1961;1200;29;25.2;72;;9;1;1;
83885;20/01/1961;1800;35;25.4;45;;9;2;5;
83885;21/01/1961;0000;27.4;24.4;77;;0;0;5;
83885;21/01/1961;1200;28.4;24.8;74;;0;0;8;
83885;21/01/1961;1800;34.2;26.6;54;;32;2;7;
83885;22/01/1961;0000;23;22.4;95;;0;0;10;
83885;22/01/1961;1200;24;22.2;85;;0;0;7;
83885;22/01/1961;1800;30.8;24.2;57;;9;1;2;
83885;23/01/1961;0000;26;22;70;;14;2;1;
83885;23/01/1961;1200;26;22;70;;14;1;2;
83885;23/01/1961;1800;32;23;45;;14;2;2;
83885;24/01/1961;0000;24.4;21.6;77;;0;0;0;
83885;24/01/1961;1200;26.2;22;69;;14;1;0;
83885;24/01/1961;1800;34;20.4;26;;14;1;0;
83885;25/01/1961;0000;24.4;18.6;57;;0;0;0;
83885;25/01/1961;1200;26;21;63;;9;1;4;
83885;25/01/1961;1800;33.4;23.6;42;;9;1;4;
83885;26/01/1961;0000;23;19.4;71;;9;1;2;
83885;26/01/1961;1200;20.6;16.6;66;;14;2;10;
83885;26/01/1961;1800;25.4;24.2;91;;14;2;10;
83885;27/01/1961;0000;21;18;74;;14;2;10;
83885;27/01/1961;1200;20.4;15.8;60;;14;2;7;
83885;27/01/1961;1800;25.6;18;45;;9;1;9;
83885;28/01/1961;0000;19;16.6;77;;14;1;7;
83885;28/01/1961;1200;21.6;17;62;;14;2;8;
83885;28/01/1961;1800;27.6;19.4;44;;14;3;8;
83885;29/01/1961;0000;21.2;18;73;;0;0;9;
83885;29/01/1961;1200;22;18.6;72;;14;1;7;
83885;29/01/1961;1800;30.4;21;41;;36;2;7;
83885;30/01/1961;0000;21.2;18.6;78;;0;0;10;
83885;30/01/1961;1200;23;19.6;72;;14;1;0;
83885;30/01/1961;1800;30.8;21;39;;14;2;3;
83885;31/01/1961;0000;24;20.6;72;;0;0;1;
83885;31/01/1961;1200;25.8;21.2;65;;0;0;0;
83885;31/01/1961;1800;33.2;22.6;38;;14;2;4;
83885;01/02/1961;0000;24.4;20;66;;0;0;0;
83885;01/02/1961;1200;27;21.6;61;;14;1;0;
83885;01/02/1961;1800;35;22.8;33;;9;2;5;
83885;02/02/1961;0000;25;20.6;67;;0;0;3;
83885;02/02/1961;1200;25.8;22;71;;9;1;7;
83885;02/02/1961;1800;28.6;23.6;65;;0;0;9;
83885;03/02/1961;0000;21.4;20.8;94;;0;0;10;
83885;03/02/1961;1200;23.4;21.4;83;;0;0;9;
83885;03/02/1961;1800;29.8;24;61;;14;1;4;
83885;04/02/1961;0000;22.4;21.6;93;;0;0;5;
83885;04/02/1961;1200;24.6;21.8;77;;14;1;6;
83885;04/02/1961;1800;31.6;23.6;50;;14;2;7;
83885;05/02/1961;0000;22;20.6;88;;0;0;9;
83885;05/02/1961;1200;21.4;20.2;89;;14;1;8;
83885;05/02/1961;1800;28.4;23.6;67;;14;2;10;
83885;06/02/1961;0000;20.4;19.8;94;;0;0;6;
83885;06/02/1961;1200;22;21.2;93;;0;0;10;
83885;06/02/1961;1800;28.2;23.4;66;;27;2;6;
83885;07/02/1961;0000;21.4;20.6;93;;0;0;0;
83885;07/02/1961;1200;23.2;22.2;91;;0;0;4;
83885;07/02/1961;1800;24.4;22.2;82;;0;0;10;
83885;08/02/1961;0000;23;21.8;89;;0;0;5;
83885;08/02/1961;1200;22;20.4;86;;14;1;10;
83885;08/02/1961;1800;29.6;22.4;52;;14;1;8;
83885;09/02/1961;0000;24.2;22.2;84;;0;0;2;
83885;09/02/1961;1200;27.4;22;62;;14;2;1;
83885;09/02/1961;1800;29.4;21.4;47;;36;3;9;
83885;10/02/1961;0000;22.6;22;95;;0;0;6;
83885;10/02/1961;1200;23.6;22;86;;14;1;7;
83885;10/02/1961;1800;32.2;24.8;54;;9;1;5;
83885;11/02/1961;0000;25.6;23;79;;0;0;10;
83885;11/02/1961;1200;23;21.4;86;;14;1;10;
83885;11/02/1961;1800;27;22.6;67;;9;2;6;
83885;12/02/1961;0000;22.8;21;85;;0;0;0;
83885;12/02/1961;1200;19;18.4;94;;0;0;10;
83885;12/02/1961;1800;28.4;20.6;48;;14;1;4;
83885;13/02/1961;0000;22;19.4;77;;0;0;0;
83885;13/02/1961;1200;19.2;17.6;84;;14;1;3;
83885;13/02/1961;1800;32;23;45;;9;1;7;
83885;14/02/1961;0000;22.4;20.2;81;;0;0;1;
83885;14/02/1961;1200;25;20.2;64;;14;1;4;
83885;14/02/1961;1800;29.8;21.6;47;;14;1;5;
83885;15/02/1961;0000;24.2;19.2;62;;14;2;1;
83885;15/02/1961;1200;24;23.6;97;;9;2;6;
83885;15/02/1961;1800;28.4;21.4;52;;14;3;8;
83885;16/02/1961;0000;22.4;17.4;59;;9;2;1;
83885;16/02/1961;1200;23;19;68;;14;2;8;
83885;16/02/1961;1800;29;21;47;;9;2;9;
83885;17/02/1961;0000;23;19;68;;14;1;0;
83885;17/02/1961;1200;24.4;20.1;67;;14;1;7;
83885;17/02/1961;1800;29;21.8;52;;14;1;8;
83885;18/02/1961;0000;21;19.8;89;;0;0;0;
83885;18/02/1961;1200;24.4;20.8;72;;14;2;2;
83885;18/02/1961;1800;29.6;23.2;57;;32;2;8;
83885;19/02/1961;0000;24.2;20;68;;9;2;10;
83885;19/02/1961;1200;21.6;19.2;79;;0;0;0;
83885;19/02/1961;1800;25;21.4;72;;36;2;9;
83885;20/02/1961;0000;22;20.2;84;;0;0;2;
83885;20/02/1961;1200;23.2;21;81;;9;1;0;
83885;20/02/1961;1800;28.2;24.4;72;;9;2;7;
83885;21/02/1961;0000;22.4;21.4;91;;0;0;9;
83885;21/02/1961;1200;26;22.8;75;;14;1;0;
83885;21/02/1961;1800;33;24;46;;32;2;6;
83885;22/02/1961;0000;24.6;21.2;73;;0;0;9;
83885;22/02/1961;1200;26.4;22.4;70;;14;1;7;
83885;22/02/1961;1800;32.4;24.4;50;;32;2;5;
83885;23/02/1961;0000;23.6;21.2;80;;14;1;10;
83885;23/02/1961;1200;22;20.6;88;;14;1;10;
83885;23/02/1961;1800;30.6;24.2;58;;32;2;6;
83885;24/02/1961;0000;25.4;23;81;;0;0;10;
83885;24/02/1961;1200;24.4;22.2;82;;14;1;9;
83885;24/02/1961;1800;31.4;24.4;55;;9;1;6;
83885;25/02/1961;0000;25.4;23.6;86;;0;0;9;
83885;25/02/1961;1200;26.2;23;75;;14;1;9;
83885;25/02/1961;1800;33.2;24.6;48;;32;2;5;
83885;26/02/1961;0000;26.2;23.4;78;;0;0;7;
83885;26/02/1961;1200;24.2;22.6;87;;0;0;8;
83885;26/02/1961;1800;24.8;22.2;79;;27;2;10;
83885;27/02/1961;0000;22;21.4;94;;9;1;10;
83885;27/02/1961;1200;22.6;21.6;91;;14;1;10;
83885;27/02/1961;1800;26.4;23.2;75;;9;2;10;
83885;28/02/1961;0000;21.4;19.4;82;;14;2;9;
83885;28/02/1961;1200;21;17.8;72;;14;2;9;
83885;28/02/1961;1800;23;18.8;66;;14;2;9;
83885;01/03/1961;0000;21.2;18.4;76;;14;1;10;
83885;01/03/1961;1200;22;18.4;70;;9;2;8;
83885;01/03/1961;1800;29;22.6;57;;32;1;8;
83885;02/03/1961;0000;23.2;21.4;84;;32;1;3;
83885;02/03/1961;1200;23.4;19.2;67;;9;1;5;
83885;02/03/1961;1800;31;22.8;48;;9;1;1;
83885;03/03/1961;0000;22.6;20;78;;0;0;0;
83885;03/03/1961;1200;24.6;19.6;62;;14;1;0;
83885;03/03/1961;1800;31.8;23.4;48;;9;1;5;
83885;04/03/1961;0000;24;21.4;78;;0;0;1;
83885;04/03/1961;1200;22.6;20.8;84;;0;0;7;
83885;04/03/1961;1800;32;24;50;;0;0;9;
83885;05/03/1961;0000;22;20.2;84;;0;0;10;
83885;05/03/1961;1200;20.2;19.8;96;;14;1;10;
83885;05/03/1961;1800;20;19.4;94;;14;1;10;
83885;06/03/1961;0000;17.4;16.4;90;;14;3;10;
83885;06/03/1961;1200;18.8;16.6;79;;14;2;10;
83885;06/03/1961;1800;20;17.4;77;;14;1;10;
83885;07/03/1961;0000;17.6;16.2;86;;14;1;9;
83885;07/03/1961;1200;20.6;17.2;71;;14;1;7;
83885;07/03/1961;1800;24.2;20.6;72;;14;1;10;
83885;08/03/1961;0000;20.8;19.4;87;;0;0;5;
83885;08/03/1961;1200;20.8;18.8;82;;14;1;9;
83885;08/03/1961;1800;29.4;23.4;59;;9;1;8;
83885;09/03/1961;0000;23.4;22.2;90;;0;0;10;
