<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83887</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CAMPOS NOVOS - SC (OMM: 83887)
Latitude  (graus) : -27.38
Longitude (graus) : -51.2
Altitude  (metros): 946.67
Esta��o Operante
Inicio de opera��o: 01/07/1923
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83887;01/01/1961;1200;19.7;18.4;88;900.8;5;1;10;
83887;01/01/1961;1800;24.1;21.2;77;900.3;9;3;10;
83887;02/01/1961;0000;19.7;18;85;900.6;9;1;4;
83887;02/01/1961;1200;19.7;17.8;82;901.9;5;1;8;
83887;02/01/1961;1800;28.1;21.6;55;900.7;27;3;6;
83887;03/01/1961;0000;23.3;20.4;76;900.6;0;0;3;
83887;03/01/1961;1200;23.9;21.2;79;902.3;9;1;0;
83887;03/01/1961;1800;30.7;22;46;900.8;18;1;5;
83887;04/01/1961;0000;18.7;18.2;95;901.5;14;1;10;
83887;04/01/1961;1200;18.9;17.2;85;901.6;5;1;3;
83887;04/01/1961;1800;26.9;20.6;56;901.2;27;1;8;
83887;05/01/1961;0000;21.3;18.6;78;901.4;18;1;6;
83887;05/01/1961;1200;20.9;18;75;903.4;5;5;5;
83887;05/01/1961;1800;26.5;20;54;902;5;5;6;
83887;06/01/1961;0000;23.7;19;63;899.6;5;3;5;
83887;06/01/1961;1200;19.1;18;89;898.7;5;5;10;
83887;06/01/1961;1800;20.3;18.4;84;898;23;5;10;
83887;07/01/1961;0000;18.9;17.6;84;901.2;23;3;10;
83887;07/01/1961;1200;17.5;15.2;78;904.2;14;3;4;
83887;07/01/1961;1800;24.7;19.2;60;903.9;23;1;6;
83887;08/01/1961;0000;21.9;17.8;66;903;14;1;4;
83887;08/01/1961;1200;18.7;16.2;77;906.3;5;5;3;
83887;08/01/1961;1800;26.5;20;54;905.1;5;1;6;
83887;09/01/1961;0000;22.3;18.6;70;904.2;9;1;3;
83887;09/01/1961;1200;19.3;16.6;76;905.5;5;3;7;
83887;09/01/1961;1800;28.5;22;56;903.8;32;1;6;
83887;10/01/1961;0000;22.9;20;77;902.4;5;1;4;
83887;10/01/1961;1200;21.5;19.4;82;904.8;5;3;10;
83887;10/01/1961;1800;18.7;17.8;91;906.8;14;5;10;
83887;11/01/1961;0000;17.5;16.8;93;904;18;1;7;
83887;11/01/1961;1200;18.7;17.6;89;906.3;5;3;4;
83887;11/01/1961;1800;28.1;21.4;54;906;9;1;6;
83887;12/01/1961;0000;24.3;20.6;71;905.5;5;1;3;
83887;12/01/1961;1200;20.5;17.8;76;907.6;5;5;8;
83887;12/01/1961;1800;28.1;21;52;906.3;5;1;5;
83887;13/01/1961;0000;23.9;19.4;65;905.8;9;3;4;
83887;13/01/1961;1200;20.5;18;78;907.5;5;5;8;
83887;13/01/1961;1800;28.3;20.8;50;905.2;5;3;6;
83887;14/01/1961;0000;24.7;18.8;57;904;5;1;3;
83887;14/01/1961;1200;20.5;18.2;80;906.2;5;3;9;
83887;14/01/1961;1800;28.9;21;48;905.1;36;1;7;
83887;15/01/1961;0000;24.7;20.4;67;903.9;23;1;7;
83887;15/01/1961;1200;21.5;19.8;85;905;5;1;7;
83887;15/01/1961;1800;29.7;22.6;53;904.4;32;1;6;
83887;16/01/1961;0000;23.9;20;70;904.8;32;1;5;
83887;16/01/1961;1200;22.5;20.4;83;905.6;5;3;7;
83887;16/01/1961;1800;32.1;24.6;53;903.5;32;1;5;
83887;17/01/1961;0000;22.7;20.4;81;905;5;1;10;
83887;17/01/1961;1200;22.5;19.6;76;907;36;3;8;
83887;17/01/1961;1800;30.7;23.2;52;906.3;27;3;7;
83887;18/01/1961;0000;20.3;19.6;93;908.4;14;1;10;
83887;18/01/1961;1200;20.9;19.8;90;909.4;9;1;10;
83887;18/01/1961;1800;26.3;21.6;65;909.1;36;1;8;
83887;19/01/1961;0000;21.5;20.6;92;908.8;9;5;10;
83887;19/01/1961;1200;22.3;20.6;87;910.3;36;3;7;
83887;19/01/1961;1800;29.7;23.8;60;909.1;27;3;7;
83887;20/01/1961;0000;25.3;22.2;77;907.6;0;0;7;
83887;20/01/1961;1200;22.7;21.2;88;907.6;36;1;3;
83887;20/01/1961;1800;29.3;23.4;59;906.6;23;3;4;
83887;21/01/1961;0000;25.9;21.8;69;906.4;18;1;6;
83887;21/01/1961;1200;23.3;21.8;88;908;5;1;8;
83887;21/01/1961;1800;28.1;23.4;66;905.9;27;1;7;
83887;22/01/1961;0000;20.7;20;94;907.5;18;1;10;
83887;22/01/1961;1200;21.1;19.6;87;907.8;9;3;8;
83887;22/01/1961;1800;26.3;21.8;66;907;18;3;7;
83887;23/01/1961;0000;22.1;19.2;76;906.6;9;3;5;
83887;23/01/1961;1200;17.7;16.6;89;908.2;5;3;10;
83887;23/01/1961;1800;28.3;21.2;52;906.6;32;1;6;
83887;24/01/1961;0000;22.7;19.8;76;905.5;9;1;3;
83887;24/01/1961;1200;19.9;18.2;85;907.8;5;1;4;
83887;24/01/1961;1800;29.5;19.2;36;906.6;23;3;4;
83887;25/01/1961;0000;23.7;16.8;48;905.9;18;1;9;
83887;25/01/1961;1200;20.1;18;81;907.5;9;1;3;
83887;25/01/1961;1800;28.7;19.8;42;907;23;1;5;
83887;26/01/1961;0000;17.9;17.2;93;907.4;9;1;10;
83887;26/01/1961;1200;14.7;13.6;89;909.1;14;3;10;
83887;26/01/1961;1800;19.7;16.4;70;909.5;14;3;10;
83887;27/01/1961;0000;15.5;14.4;88;909.6;9;1;8;
83887;27/01/1961;1200;13.5;12;84;911.4;9;3;8;
83887;27/01/1961;1800;20.3;15;56;911.5;9;3;7;
83887;28/01/1961;0000;16.7;14.4;78;910.3;9;1;6;
83887;28/01/1961;1200;13.9;12.8;89;910;9;3;7;
83887;28/01/1961;1800;21.3;16.2;59;909.1;5;3;7;
83887;29/01/1961;0000;17.3;15;78;908.7;5;1;5;
83887;29/01/1961;1200;16.7;15.2;86;908.6;9;3;8;
83887;29/01/1961;1800;19.9;18.4;87;907.4;5;1;6;
83887;30/01/1961;0000;17.5;16.6;91;906.6;18;1;4;
83887;30/01/1961;1200;17.7;17;93;906.8;5;1;3;
83887;30/01/1961;1800;27.1;19.8;50;905.8;27;1;5;
83887;31/01/1961;0000;21.1;17.8;71;905.4;9;1;4;
83887;31/01/1961;1200;20.7;17.8;74;906.8;5;3;0;
83887;31/01/1961;1800;28.1;20.6;50;905.5;32;3;7;
83887;01/02/1961;0000;24.3;17.8;51;904.6;0;0;3;
83887;01/02/1961;1200;21.5;18.4;74;906.8;5;1;0;
83887;01/02/1961;1800;28.5;19.6;45;905.5;32;3;7;
83887;02/02/1961;0000;25.7;19.6;55;904.4;0;0;3;
83887;02/02/1961;1200;21.5;18.6;75;906.8;5;1;7;
83887;02/02/1961;1800;26.3;21.4;63;906.6;23;5;8;
83887;03/02/1961;0000;18.5;18.2;97;908.4;23;1;10;
83887;03/02/1961;1200;18.3;17.8;95;909.4;9;1;10;
83887;03/02/1961;1800;26.9;21.4;60;909.4;23;3;7;
83887;04/02/1961;0000;19.1;18.2;91;909.2;9;3;6;
83887;04/02/1961;1200;19.9;18;83;909.6;5;3;6;
83887;04/02/1961;1800;26.7;20.8;58;907.8;14;5;8;
83887;05/02/1961;0000;19.7;18.8;92;907.8;14;1;10;
83887;05/02/1961;1200;18.9;17.4;86;906.8;5;3;8;
83887;05/02/1961;1800;23.5;20;72;905.5;36;3;8;
83887;06/02/1961;0000;19.1;18.6;95;905.4;5;1;10;
83887;06/02/1961;1200;20.3;19;88;905.6;5;1;10;
83887;06/02/1961;1800;25.7;21;65;907;23;5;8;
83887;07/02/1961;0000;22.1;20.4;86;907;0;0;7;
83887;07/02/1961;1200;22.1;18.4;69;909;36;1;8;
83887;07/02/1961;1800;25.3;22.6;80;908;27;1;8;
83887;08/02/1961;0000;19.5;19.2;97;910.2;36;1;10;
83887;08/02/1961;1200;17.7;17.6;99;911;14;1;10;
83887;08/02/1961;1800;27.3;20.6;54;910;23;3;8;
83887;09/02/1961;0000;22.9;19.8;75;909.1;0;0;4;
83887;09/02/1961;1200;20.1;17.6;78;909.5;5;5;4;
83887;09/02/1961;1800;24.1;19.8;66;909;36;1;10;
