<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83899</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : FLORIANOPOLIS - AEROPORTO - SC (OMM: 83899)
Latitude  (graus) : -27.67
Longitude (graus) : -48.55
Altitude  (metros): 6.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83899;01/01/2015;0000;26.3;;78;1006.9;33;4.11552;10;
83899;01/01/2015;0600;26.2;;77;1004.7;36;8.74548;8.75;
83899;01/01/2015;1200;30.8;;60;1006.5;36;6.68772;5;
83899;01/01/2015;1800;;;41;1004.2;33;6.68772;3.75;
83899;02/01/2015;0000;26.6;;81;1005.5;0;0;6.25;
83899;02/01/2015;0600;26.1;;83;1004.4;14;2.5722;6.25;
83899;02/01/2015;1200;27.4;;70;1008.1;18;3.08664;7.5;
83899;02/01/2015;1800;25.6;;69;1010.5;17;6.17328;6.25;
83899;03/01/2015;0000;22.4;;80;1014.4;19;3.60108;7.5;
83899;03/01/2015;0600;21.9;;77;1014.2;22;2.05776;6.25;
83899;03/01/2015;1200;24.7;;63;1017.3;21;2.5722;6.25;
83899;03/01/2015;1800;24.6;;65;1016.5;14;2.05776;8.75;
83899;04/01/2015;0000;23.1;;78;1016.5;34;1.02888;8.75;
83899;04/01/2015;0600;22.2;;81;1014.9;34;2.05776;7.5;
83899;04/01/2015;1200;26;;67;1015.8;36;5.1444;3.75;
83899;04/01/2015;1800;30;;52;1013.9;12;4.11552;3.75;
83899;05/01/2015;0000;23.9;;87;1016.5;14;1.02888;2.5;
83899;05/01/2015;0600;22.7;;85;1015.8;0;0;3.75;
83899;05/01/2015;1200;26.5;;72;1017.6;32;1.02888;5;
83899;05/01/2015;1800;27.5;;70;1016.5;7;5.1444;6.25;
83899;06/01/2015;0000;25.2;;81;1016.9;5;3.08664;6.25;
83899;06/01/2015;0600;25.4;;80;1016.1;2;4.62996;6.25;
83899;06/01/2015;1200;27.5;;73;1016.5;36;5.65884;3.75;
83899;06/01/2015;1800;29.5;;64;1014.2;1;7.7166;5;
83899;07/01/2015;0000;26.5;;79;1014.8;2;4.62996;5;
83899;07/01/2015;0600;25.9;;83;1012.8;1;5.1444;6.25;
83899;07/01/2015;1200;28.5;;72;1012.4;1;6.17328;3.75;
83899;07/01/2015;1800;31.4;;66;1009.2;34;5.65884;3.75;
83899;08/01/2015;0000;27.2;;82;1012.5;36;5.65884;5;
83899;08/01/2015;0600;24.9;;89;1011.1;27;3.08664;6.25;
83899;08/01/2015;1200;30;;66;1011;1;5.1444;1.25;
83899;08/01/2015;1800;32.4;;61;1008.7;35;2.05776;6.25;
83899;09/01/2015;0600;25.7;;80;1008.9;35;2.5722;6.25;
83899;09/01/2015;1200;28.9;;63;1011.4;36;5.1444;3.75;
83899;09/01/2015;1800;;;46;1007.9;1;5.65884;1.25;
83899;10/01/2015;0000;25.6;;85;1010.9;32;3.60108;7.5;
83899;10/01/2015;0600;26.1;;84;1009.8;1;2.5722;2.5;
83899;10/01/2015;1200;28.6;;73;1011.9;27;1.54332;6.25;
83899;10/01/2015;1800;30.9;;55;1011.2;15;5.1444;6.25;
83899;11/01/2015;0000;26.9;;82;1012.9;29;2.05776;8.75;
83899;11/01/2015;0600;24.8;;88;1010.2;0;0;1.25;
83899;11/01/2015;1200;29.1;;65;1012.8;35;1.02888;3.75;
83899;11/01/2015;1800;;;47;1009.8;2;5.1444;1.25;
83899;12/01/2015;0000;26.5;;76;1011.7;28;2.5722;5;
83899;12/01/2015;0600;25.7;;84;1008.8;29;2.5722;3.75;
83899;12/01/2015;1200;31.6;;61;1010.4;35;3.08664;0;
83899;12/01/2015;1800;30.8;;60;1009.8;22;6.17328;5;
83899;13/01/2015;0000;28.9;;67;1012.8;20;2.05776;5;
83899;13/01/2015;0600;25.5;;91;1012.4;0;0;3.75;
83899;13/01/2015;1200;29.6;;67;1013.7;0;0;1.25;
