<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83905</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : JOINVILLE - SC (OMM: 83905)
Latitude  (graus) : -26.22
Longitude (graus) : -48.79
Altitude  (metros): 4.00
Esta��o Operante
Inicio de opera��o: 00/00/0000
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83905;01/01/2015;0000;27.2;;;;30;;10;
83905;01/01/2015;1200;28.7;;;;9;3.08664;6.25;
83905;01/01/2015;1800;;;;;34;2.05776;8.75;
83905;02/01/2015;0000;26.7;;;;6;0.51444;8.75;
83905;02/01/2015;1200;;;;;32;;8.75;
83905;02/01/2015;1800;25.6;;;;12;;8.75;
83905;03/01/2015;0000;;;;;14;3.08664;10;
83905;03/01/2015;1200;;;;;32;2.05776;10;
83905;03/01/2015;1800;24.5;;;;5;1.02888;10;
83905;04/01/2015;0000;;;;;25;1.02888;10;
83905;04/01/2015;1200;23.6;;;;0;0;8.75;
83905;04/01/2015;1800;26.3;;;;1;;10;
83905;05/01/2015;0000;23.3;;;;0;0;6.25;
83905;05/01/2015;1200;24.7;;;;10;3.08664;10;
83905;05/01/2015;1800;26.6;;;;7;;8.75;
83905;06/01/2015;0000;24.5;;;;7;1.54332;8.75;
83905;06/01/2015;1200;25.9;;;;1;0.51444;7.5;
83905;06/01/2015;1800;29.5;;;;3;;5;
83905;07/01/2015;0000;26;;;;1;1.02888;7.5;
83905;07/01/2015;1200;27.7;;;;35;1.02888;6.25;
83905;07/01/2015;1800;25.8;;;;33;3.08664;7.5;
83905;08/01/2015;0000;24.9;;;;34;1.54332;6.25;
83905;08/01/2015;1200;29.2;;;;27;2.05776;8.75;
83905;08/01/2015;1800;;;;;2;0.51444;7.5;
83905;09/01/2015;1200;27.5;;;;14;2.05776;5;
83905;09/01/2015;1800;;;;;10;2.5722;8.75;
83905;10/01/2015;0000;24.5;;;;26;1.02888;7.5;
83905;10/01/2015;1200;27.4;;;;33;1.54332;8.75;
