<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83909</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SANTO ANGELO - RS (OMM: 83909)
Latitude  (graus) : -28.3
Longitude (graus) : -54.25
Altitude  (metros): 284.50
Esta��o Desativada
Inicio de opera��o: 01/11/1914
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83909;01/01/1961;1200;23.4;22.2;90;;9;1;8;
83909;01/01/1961;1800;31.5;25.2;58;;0;0;4;
83909;02/01/1961;0000;27;23.5;73;;0;0;0;
83909;02/01/1961;1200;27.6;24.4;76;;0;0;0;
83909;02/01/1961;1800;28.5;23.5;64;;23;2;10;
83909;03/01/1961;0000;25.5;22.5;76;;0;0;10;
83909;03/01/1961;1200;27;23.6;74;;14;1;0;
83909;03/01/1961;1800;34.5;25.4;46;;36;2;10;
83909;04/01/1961;0000;20;19.5;95;;36;2;10;
83909;04/01/1961;1200;22.6;20.5;82;;5;2;5;
83909;04/01/1961;1800;29.4;21.5;47;;14;3;7;
83909;05/01/1961;0000;25;19.4;57;;14;1;6;
83909;05/01/1961;1200;24.5;20.8;70;;9;2;0;
83909;05/01/1961;1800;32;23;44;;36;1;10;
83909;06/01/1961;0000;27;23;70;;0;0;10;
83909;06/01/1961;1200;19.6;19.5;99;;0;0;10;
83909;06/01/1961;1800;26;21.5;65;;23;2;9;
83909;07/01/1961;0000;22.4;19.4;74;;0;0;7;
83909;07/01/1961;1200;22.4;20;79;;9;3;10;
83909;07/01/1961;1800;28.5;20.5;45;;5;2;8;
83909;08/01/1961;0000;22.4;19.8;77;;0;0;0;
83909;08/01/1961;1200;25;21.4;71;;5;1;8;
83909;08/01/1961;1800;32.5;24.2;48;;0;0;8;
83909;09/01/1961;0000;27.6;23;66;;0;0;0;
83909;09/01/1961;1200;28.6;24.4;69;;36;2;7;
83909;09/01/1961;1800;33;25.5;53;;36;2;9;
83909;10/01/1961;0000;29;24.5;68;;5;1;0;
83909;10/01/1961;1200;25.5;23.2;82;;36;3;10;
83909;10/01/1961;1800;25;22.4;79;;36;1;10;
83909;11/01/1961;0000;23;22;91;;0;0;0;
83909;11/01/1961;1200;23.4;22;88;;0;0;5;
83909;11/01/1961;1800;30.4;23.5;54;;0;0;7;
83909;12/01/1961;0000;25.4;21.5;69;;14;1;0;
83909;12/01/1961;1200;27.5;23.5;70;;36;2;0;
83909;12/01/1961;1800;34.6;25.6;47;;32;1;9;
83909;13/01/1961;0000;29.5;24.1;62;;0;0;0;
83909;13/01/1961;1200;29.2;23.5;60;;36;2;0;
83909;13/01/1961;1800;35;25.5;44;;32;1;6;
83909;14/01/1961;0000;29.4;23.5;59;;5;1;0;
83909;14/01/1961;1200;28;23;64;;36;2;10;
83909;14/01/1961;1800;33;25.5;53;;36;2;10;
83909;15/01/1961;0000;28.6;24.4;69;;0;0;10;
83909;15/01/1961;1200;29.5;24.4;64;;36;3;8;
83909;15/01/1961;1800;34;26.5;54;;32;1;10;
83909;16/01/1961;0000;28.8;25.2;73;;0;0;0;
83909;16/01/1961;1200;30.5;25.5;65;;36;2;10;
83909;16/01/1961;1800;35;26.5;49;;32;1;10;
83909;17/01/1961;0000;30;25.5;68;;5;2;0;
83909;17/01/1961;1200;30;24.4;61;;36;5;4;
83909;17/01/1961;1800;20.5;19.6;91;;14;4;10;
83909;18/01/1961;0000;20.2;19.2;91;;5;1;10;
83909;18/01/1961;1200;23.2;21.6;86;;5;1;9;
83909;18/01/1961;1800;30.2;24.6;62;;14;1;6;
83909;19/01/1961;0000;25.5;22.6;77;;14;3;0;
83909;19/01/1961;1200;26.4;24.2;83;;0;0;0;
83909;19/01/1961;1800;33.2;27.4;62;;27;1;6;
83909;20/01/1961;0000;25.6;25;95;;0;0;0;
83909;20/01/1961;1200;29.5;25.5;71;;36;2;0;
83909;20/01/1961;1800;34.5;26.5;51;;27;2;6;
83909;21/01/1961;0000;29.7;24.7;65;;32;1;0;
83909;21/01/1961;1200;30;26;72;;0;0;6;
83909;21/01/1961;1800;31.8;25.6;60;;27;2;10;
83909;22/01/1961;0000;24.4;23.5;93;;0;0;10;
83909;22/01/1961;1200;24;22;83;;5;1;10;
83909;22/01/1961;1800;25.5;24;91;;14;1;8;
83909;23/01/1961;0000;24.6;20.6;68;;9;3;3;
83909;23/01/1961;1200;23.2;20.1;75;;14;2;0;
83909;23/01/1961;1800;33.1;23.7;43;;14;1;0;
83909;24/01/1961;0000;27.5;22.6;64;;14;2;0;
83909;24/01/1961;1200;23.8;20.6;74;;14;1;0;
83909;24/01/1961;1800;34;21.5;29;;18;1;0;
83909;25/01/1961;0000;27;20;50;;0;0;0;
83909;25/01/1961;1200;23.5;20.5;75;;9;2;6;
83909;25/01/1961;1800;29.5;22.5;52;;14;3;8;
83909;26/01/1961;0000;20.6;17.5;72;;14;3;10;
83909;26/01/1961;1200;20.4;15.6;58;;18;5;0;
83909;26/01/1961;1800;26.5;19;46;;18;3;9;
83909;27/01/1961;0000;22;16.5;54;;14;5;0;
83909;27/01/1961;1200;20.4;16;61;;18;4;0;
83909;27/01/1961;1800;27.5;18.5;38;;9;3;9;
83909;28/01/1961;0000;22.5;17.6;59;;14;1;4;
83909;28/01/1961;1200;23;18.5;63;;5;1;0;
83909;28/01/1961;1800;29.5;19.5;35;;9;1;9;
83909;29/01/1961;0000;24;19;60;;0;0;0;
83909;29/01/1961;1200;23.8;19.8;67;;36;1;0;
83909;29/01/1961;1800;28.5;21;48;;0;0;9;
83909;30/01/1961;0000;25;20.6;66;;0;0;0;
83909;30/01/1961;1200;26;21.4;64;;0;0;0;
83909;30/01/1961;1800;33;22.6;38;;0;0;8;
83909;31/01/1961;0000;27;21.5;59;;0;0;0;
83909;31/01/1961;1200;26;22;69;;5;1;4;
83909;31/01/1961;1800;34.8;22;29;;36;1;5;
83909;01/02/1961;0000;28.4;21.6;53;;0;0;0;
83909;01/02/1961;1200;28.2;23;63;;0;0;0;
83909;01/02/1961;1800;33;24.5;50;;36;1;8;
83909;02/02/1961;0000;23.6;21;78;;5;2;10;
83909;02/02/1961;1200;24;21.8;81;;5;1;10;
83909;02/02/1961;1800;26.5;22.5;69;;23;3;10;
83909;03/02/1961;0000;23.6;21;78;;0;0;0;
83909;03/02/1961;1200;23.8;21;77;;9;2;10;
83909;03/02/1961;1800;32.6;23.5;44;;14;1;10;
83909;04/02/1961;0000;25.5;22.2;74;;5;1;0;
83909;04/02/1961;1200;26;22;69;;5;1;0;
83909;04/02/1961;1800;33;24.5;48;;23;1;10;
83909;05/02/1961;0000;22;21.4;94;;9;1;9;
83909;05/02/1961;1200;24.5;22.5;83;;0;0;0;
83909;05/02/1961;1800;32.4;25.5;56;;27;1;10;
83909;06/02/1961;0000;26.4;22.4;69;;5;2;10;
83909;06/02/1961;1200;23;22.5;96;;0;0;10;
83909;06/02/1961;1800;25;23;84;;36;1;10;
