<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83910</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PANAMBI - RS (OMM: 83910)
Latitude  (graus) : -28.28
Longitude (graus) : -53.48
Altitude  (metros): 470.00
Esta��o Desativada
Inicio de opera��o: 01/01/1974
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83910;01/09/1976;1200;21;16.8;64;;5;12;8;
83910;01/09/1976;1800;30.5;19.8;36;;36;7;0;
83910;02/09/1976;0000;21.4;16.4;58;;5;3;0;
83910;02/09/1976;1200;21.1;16.2;59;;36;7;0;
83910;02/09/1976;1800;30.3;21;41;;36;9;0;
83910;03/09/1976;0000;22.4;17;57;;32;2;2;
83910;03/09/1976;1200;18.2;17.5;93;;14;3;10;
83910;03/09/1976;1800;16.7;16.5;98;;9;3;10;
83910;04/09/1976;0000;16.2;15.8;96;;9;5;10;
83910;04/09/1976;1200;14.2;14;98;;14;3;10;
83910;04/09/1976;1800;11.4;11.2;98;;14;10;10;
83910;05/09/1976;0000;8.6;8.2;95;;14;12;10;
83910;05/09/1976;1200;9.2;8.4;89;;14;9;10;
83910;05/09/1976;1800;11.4;9.6;79;;14;7;10;
83910;06/09/1976;0000;9.4;8.4;87;;14;7;10;
83910;06/09/1976;1200;9;8.8;97;;14;5;10;
83910;06/09/1976;1800;14.2;12.4;81;;9;3;10;
83910;07/09/1976;0000;11.2;10.7;94;;14;5;10;
83910;07/09/1976;1200;11.6;11.4;98;;23;1;10;
83910;07/09/1976;1800;12.2;11.8;96;;23;7;10;
83910;08/09/1976;0000;10.2;9.8;95;;27;9;10;
83910;08/09/1976;1200;7;6.8;97;;27;7;10;
83910;08/09/1976;1800;11.2;9.7;82;;23;3;10;
83910;09/09/1976;0000;9.8;9.4;95;;23;3;9;
83910;09/09/1976;1200;8;7.6;94;;23;2;10;
83910;09/09/1976;1800;12.8;9.7;66;;5;1;8;
83910;10/09/1976;0000;9.6;9.2;95;;5;1;10;
83910;10/09/1976;1200;9;8.2;89;;14;5;8;
83910;10/09/1976;1800;12.2;9.7;71;;23;5;9;
83910;11/09/1976;0000;9.2;7.7;81;;9;1;9;
83910;11/09/1976;1200;8.6;7;79;;9;3;9;
83910;11/09/1976;1800;14;9.2;50;;9;5;6;
83910;12/09/1976;0000;9.8;7.6;72;;14;4;3;
83910;12/09/1976;1200;9.4;8.4;87;;14;5;6;
83910;12/09/1976;1800;17.8;14;65;;14;5;8;
83910;13/09/1976;0000;14.2;12.8;85;;14;1;10;
83910;13/09/1976;1200;13.4;12.7;92;;0;0;10;
83910;13/09/1976;1800;17.2;15;78;;23;7;9;
83910;14/09/1976;0000;12.6;12.4;98;;23;3;4;
83910;14/09/1976;1200;12;10.8;86;;18;5;9;
83910;14/09/1976;1800;15.4;11.8;63;;23;7;6;
83910;15/09/1976;0000;10.8;9.8;87;;0;0;0;
83910;15/09/1976;1200;11.4;10.4;88;;0;0;5;
83910;15/09/1976;1800;20.8;14.6;48;;32;7;6;
83910;16/09/1976;0000;13.8;11.2;72;;0;0;0;
83910;16/09/1976;1200;13.2;11.7;84;;18;1;1;
83910;16/09/1976;1800;23.4;16.8;49;;32;2;2;
83910;17/09/1976;0000;14.4;12.4;79;;0;0;0;
83910;17/09/1976;1200;17.4;14.2;70;;36;5;2;
