<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83912</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CRUZ ALTA - RS (OMM: 83912)
Latitude  (graus) : -28.63
Longitude (graus) : -53.6
Altitude  (metros): 472.50
Esta��o Operante
Inicio de opera��o: 02/02/1912
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83912;01/01/1961;1200;23.4;20.8;78;949.2;14;3;10;
83912;01/01/1961;1800;30.2;23;53;947.1;32;1;10;
83912;02/01/1961;0000;29;22;53;949;0;0;5;
83912;02/01/1961;1200;24.4;21.4;75;950.4;5;1;0;
83912;02/01/1961;1800;31.6;22.6;45;949.8;23;3;10;
83912;03/01/1961;0000;25;22;76;951.4;0;0;10;
83912;03/01/1961;1200;25.8;21.2;65;952.3;5;3;4;
83912;03/01/1961;1800;29;23.2;60;948.7;14;5;10;
83912;04/01/1961;0000;20.4;15.6;59;954.2;14;3;10;
83912;04/01/1961;1200;20.2;18;79;953.1;14;3;6;
83912;04/01/1961;1800;27.8;19.8;46;952.4;14;3;6;
83912;05/01/1961;0000;24.8;18;49;952.4;0;0;0;
83912;05/01/1961;1200;24;20;69;952;5;1;2;
83912;05/01/1961;1800;31;22;44;949.6;5;3;10;
83912;06/01/1961;0000;27.6;21;54;949.6;0;0;10;
83912;06/01/1961;1200;19;18.2;92;949.4;23;3;10;
83912;06/01/1961;1800;24.8;19.6;61;950.4;23;3;10;
83912;07/01/1961;0000;22.6;18.4;66;953.2;0;0;10;
83912;07/01/1961;1200;21;17.6;71;956.7;5;1;10;
83912;07/01/1961;1800;26.8;18.8;45;956.7;5;1;10;
83912;08/01/1961;0000;25;18;48;953.9;0;0;0;
83912;08/01/1961;1200;24.4;20;66;956;5;3;5;
83912;08/01/1961;1800;30;21;43;954.3;5;3;10;
83912;09/01/1961;0000;28.2;21.2;52;953;0;0;0;
83912;09/01/1961;1200;25.6;21.4;68;955.6;5;3;10;
