<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83916</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : LAGOA VERMELHA - RS (OMM: 83916)
Latitude  (graus) : -28.21
Longitude (graus) : -51.5
Altitude  (metros): 840.00
Esta��o Operante
Inicio de opera��o: 01/06/1914
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83916;01/01/1961;1200;18.7;18;93;;5;2;10;
83916;01/01/1961;1800;27.4;21.2;56;;5;2;7;
83916;02/01/1961;0000;16.8;16;92;;5;2;10;
83916;02/01/1961;1200;23.2;19.2;69;;36;2;4;
83916;02/01/1961;1800;30.3;22.5;50;;27;3;5;
83916;03/01/1961;0000;22.9;20.4;80;;23;1;8;
83916;03/01/1961;1200;23.8;21.3;80;;27;2;0;
83916;03/01/1961;1800;27.8;22.6;63;;18;3;10;
83916;04/01/1961;0000;18;17.5;95;;9;2;10;
83916;04/01/1961;1200;20.9;18.8;82;;9;2;10;
83916;04/01/1961;1800;25.2;20.1;62;;18;3;7;
83916;05/01/1961;0000;23.2;19.2;69;;36;2;4;
83916;05/01/1961;1200;22.9;19.3;71;;5;3;5;
83916;05/01/1961;1800;29.2;21.2;48;;36;2;7;
83916;06/01/1961;0000;24.1;19.1;61;;5;2;7;
83916;06/01/1961;1200;17.8;17.4;96;;5;2;10;
83916;06/01/1961;1800;19.8;18.4;87;;27;3;10;
83916;07/01/1961;0000;18.5;17.4;89;;23;2;4;
83916;07/01/1961;1200;18.6;15.8;74;;14;3;0;
83916;07/01/1961;1800;25.7;19.1;53;;9;1;7;
83916;08/01/1961;0000;21;16.4;62;;9;2;0;
83916;08/01/1961;1200;21.8;18.4;72;;5;3;0;
83916;08/01/1961;1800;28.1;22.1;58;;9;3;0;
83916;09/01/1961;0000;23.2;19;67;;9;1;2;
83916;09/01/1961;1200;21.5;18.2;72;;9;3;0;
83916;09/01/1961;1800;28.7;21.4;51;;36;2;7;
83916;10/01/1961;0000;24.7;20.8;70;;9;2;0;
83916;10/01/1961;1200;23.2;20.7;80;;36;2;10;
83916;10/01/1961;1800;19.2;18.3;91;;27;2;10;
83916;11/01/1961;0000;18.3;17.5;92;;27;2;6;
83916;11/01/1961;1200;22.2;19.3;76;;9;2;3;
83916;11/01/1961;1800;27.7;20.8;53;;18;2;6;
83916;12/01/1961;0000;20.8;19;85;;18;3;0;
83916;12/01/1961;1200;22.7;19.2;72;;36;3;0;
83916;12/01/1961;1800;29.5;21.2;47;;36;1;3;
83916;13/01/1961;0000;26.2;20.6;61;;36;2;0;
83916;13/01/1961;1200;23.5;19.5;68;;36;3;0;
83916;13/01/1961;1800;29.1;21.5;50;;36;1;5;
83916;14/01/1961;0000;25;20.2;64;;9;2;0;
83916;14/01/1961;1200;23.3;19.8;72;;5;2;4;
83916;14/01/1961;1800;30;21.4;46;;27;2;6;
83916;15/01/1961;0000;26.3;21.9;67;;0;0;3;
83916;15/01/1961;1200;25.1;22;76;;36;1;3;
83916;15/01/1961;1800;30.1;24.1;60;;27;1;4;
83916;16/01/1961;0000;25.7;22.2;74;;32;1;5;
83916;16/01/1961;1200;25.5;21.6;70;;36;2;7;
83916;16/01/1961;1800;29.7;24.5;65;;5;2;8;
83916;17/01/1961;0000;23.4;20.3;75;;9;2;10;
83916;17/01/1961;1200;25;20.5;66;;36;3;5;
83916;17/01/1961;1800;27.2;23.3;72;;27;2;10;
83916;18/01/1961;0000;19.7;19.1;95;;18;2;10;
83916;18/01/1961;1200;23.8;21.5;82;;14;2;10;
83916;18/01/1961;1800;26.4;22.8;73;;27;3;8;
83916;19/01/1961;0000;22.7;20.5;82;;9;3;3;
83916;19/01/1961;1200;24.8;21.7;76;;27;3;7;
83916;19/01/1961;1800;30.6;23.5;54;;27;3;5;
83916;20/01/1961;0000;25.4;22;74;;18;2;0;
83916;20/01/1961;1200;25.5;22.3;75;;27;3;0;
83916;20/01/1961;1800;31.2;23.2;50;;27;3;7;
83916;21/01/1961;0000;27;22.9;70;;27;2;3;
83916;21/01/1961;1200;23.7;21.8;84;;18;3;10;
83916;21/01/1961;1800;28.1;24.5;74;;23;2;10;
83916;22/01/1961;0000;21.8;20.1;86;;18;2;10;
83916;22/01/1961;1200;22.3;19.9;80;;14;1;6;
