<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83919</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : BOM JESUS - RS (OMM: 83919)
Latitude  (graus) : -28.66
Longitude (graus) : -50.43
Altitude  (metros): 1047.50
Esta��o Operante
Inicio de opera��o: 01/05/1948
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83919;05/02/1961;1200;16.8;;;;;;;
83919;05/02/1961;1800;22;19.8;81;900.8;23;6;10;
83919;06/02/1961;0000;17.4;17;96;901.4;0;0;7;
83919;06/02/1961;1200;19.8;18.6;89;902.4;36;1;9;
83919;06/02/1961;1800;23.4;20.2;75;902.2;27;5;9;
83919;07/02/1961;0000;20.6;19;87;902.5;0;0;10;
83919;07/02/1961;1200;22.3;19.2;75;904.8;32;1;4;
83919;07/02/1961;1800;21.6;20.2;88;904.3;23;3;10;
83919;08/02/1961;0000;19;18.7;97;904.8;0;0;6;
83919;08/02/1961;1200;19.4;18.6;92;906.3;0;0;5;
83919;08/02/1961;1800;25.6;19.9;58;905.8;18;2;7;
83919;09/02/1961;0000;17.4;16.4;90;905.8;14;2;1;
83919;09/02/1961;1200;19;17;82;906.2;5;1;4;
83919;09/02/1961;1800;25.6;20;59;904.2;23;2;9;
83919;10/02/1961;0000;16.8;16;92;904.6;9;3;6;
83919;10/02/1961;1200;18;16.5;86;905.1;36;5;7;
83919;10/02/1961;1800;24.6;19.6;62;902.4;36;3;6;
83919;11/02/1961;0000;20.1;18.9;89;901.2;36;3;10;
83919;11/02/1961;1200;19.2;18.2;90;901.1;36;6;10;
83919;11/02/1961;1800;24;19.8;67;899.9;27;7;7;
83919;12/02/1961;0000;18.4;16.8;85;900;23;2;2;
83919;12/02/1961;1200;18.8;14.6;63;901;23;3;0;
83919;12/02/1961;1800;25.2;16.3;38;900;27;2;1;
83919;13/02/1961;0000;17.4;12.6;56;899.8;0;0;0;
83919;13/02/1961;1200;17.4;15.1;78;901.9;32;1;9;
