<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83920</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SAO JOAQUIM - SC (OMM: 83920)
Latitude  (graus) : -28.3
Longitude (graus) : -49.93
Altitude  (metros): 1415.00
Esta��o Operante
Inicio de opera��o: 01/08/1954
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83920;01/01/1961;1200;16.3;15.8;95;;9;1;10;
83920;01/01/1961;1800;20.1;16.8;72;;9;3;10;
83920;02/01/1961;0000;16.4;15;86;;9;2;0;
83920;02/01/1961;1200;19.2;16.1;73;;32;1;0;
83920;02/01/1961;1800;25.2;18;49;;27;1;8;
83920;03/01/1961;0000;17.1;16.1;91;;23;1;10;
83920;03/01/1961;1200;20.6;16.2;64;;14;1;0;
83920;03/01/1961;1800;22.8;19.1;71;;18;3;10;
83920;04/01/1961;0000;16;16;100;;36;1;10;
83920;04/01/1961;1200;16.9;15.2;84;;36;1;9;
83920;04/01/1961;1800;21;18.2;77;;23;1;8;
83920;05/01/1961;0000;14.9;14.4;94;;14;3;10;
83920;05/01/1961;1200;18.5;16.4;80;;36;1;3;
83920;05/01/1961;1800;24.4;17.7;52;;36;1;8;
83920;06/01/1961;0000;16.7;15.3;87;;36;1;10;
83920;06/01/1961;1200;16.9;15.5;87;;36;1;10;
83920;06/01/1961;1800;16;15.5;95;;36;1;10;
83920;07/01/1961;0000;13.8;13.8;100;;32;1;10;
83920;07/01/1961;1200;14.4;12.2;78;;9;1;2;
83920;07/01/1961;1800;23.8;16.8;49;;32;1;5;
83920;08/01/1961;0000;13;12.3;92;;9;1;0;
83920;08/01/1961;1200;15.8;14;82;;36;1;0;
83920;08/01/1961;1800;25;17.8;49;;36;1;3;
83920;09/01/1961;0000;16.4;15.4;91;;9;1;0;
83920;09/01/1961;1200;17.5;15.4;80;;36;1;0;
83920;09/01/1961;1800;27.1;19.9;51;;36;1;4;
83920;10/01/1961;0000;16.2;15.4;93;;36;1;0;
83920;10/01/1961;1200;19.3;17.4;83;;36;1;10;
83920;10/01/1961;1800;19;16.3;76;;27;1;10;
83920;11/01/1961;0000;16.8;14.8;81;;27;1;0;
83920;11/01/1961;1200;19.5;16.2;72;;14;3;0;
83920;11/01/1961;1800;23.3;19.4;70;;14;1;8;
83920;12/01/1961;0000;14.8;14.1;93;;18;3;5;
83920;12/01/1961;1200;21.4;16.8;63;;36;1;0;
83920;12/01/1961;1800;27;18;41;;5;1;5;
83920;13/01/1961;0000;16.6;15;85;;36;1;0;
83920;13/01/1961;1200;19;17.1;83;;5;3;9;
83920;13/01/1961;1800;24.9;18.8;56;;5;1;2;
83920;14/01/1961;0000;17.8;16.6;89;;5;1;0;
83920;14/01/1961;1200;19.2;16.5;73;;36;3;6;
83920;14/01/1961;1800;26.3;18.2;45;;32;1;5;
83920;15/01/1961;0000;18;16;81;;9;1;0;
83920;15/01/1961;1200;22.4;18.9;72;;36;3;2;
83920;15/01/1961;1800;27.1;20.1;53;;32;3;9;
83920;16/01/1961;0000;17.8;16.9;92;;36;1;10;
83920;16/01/1961;1200;23.3;18;59;;36;1;1;
83920;16/01/1961;1800;19.8;18.8;92;;9;1;10;
83920;17/01/1961;0000;18.1;17.9;98;;5;1;10;
83920;17/01/1961;1200;21;18.8;81;;36;6;7;
83920;17/01/1961;1800;24.8;19.8;63;;36;3;10;
83920;18/01/1961;0000;17.5;17.2;97;;5;1;10;
83920;18/01/1961;1200;17.6;17.2;96;;5;1;10;
83920;18/01/1961;1800;19.6;19;96;;14;3;10;
83920;19/01/1961;0000;17.2;16.8;96;;5;1;10;
83920;19/01/1961;1200;18.8;17.8;91;;36;1;10;
83920;19/01/1961;1800;24.7;19.9;64;;27;1;8;
83920;20/01/1961;0000;16.8;16.2;95;;9;2;3;
83920;20/01/1961;1200;19.5;17.5;81;;36;1;0;
83920;20/01/1961;1800;27.8;19.3;45;;27;3;6;
83920;21/01/1961;0000;19;18.3;94;;5;1;4;
83920;21/01/1961;1200;20.2;18.8;88;;36;1;5;
83920;21/01/1961;1800;24.8;20.8;70;;18;1;10;
83920;22/01/1961;0000;18.8;18;93;;18;1;8;
83920;22/01/1961;1200;20.1;17.2;76;;5;2;7;
83920;22/01/1961;1800;21.8;18.6;74;;18;3;8;
83920;23/01/1961;0000;13.6;13.3;97;;14;3;10;
83920;23/01/1961;1200;17.7;15.5;80;;36;1;8;
83920;23/01/1961;1800;23.8;18.2;59;;32;1;7;
83920;24/01/1961;0000;14.4;14.2;98;;9;1;0;
83920;24/01/1961;1200;16.7;15.4;88;;32;3;5;
83920;24/01/1961;1800;26.5;16.2;33;;27;1;1;
83920;25/01/1961;0000;15.8;14.8;90;;18;3;2;
83920;25/01/1961;1200;18.5;13.4;55;;18;1;0;
83920;25/01/1961;1800;22.8;17.8;60;;18;1;10;
83920;26/01/1961;0000;11;10.9;99;;18;2;7;
83920;26/01/1961;1200;13.3;10.4;70;;14;5;3;
83920;26/01/1961;1800;14;12.9;89;;18;3;10;
83920;27/01/1961;0000;9.4;9;95;;14;3;10;
83920;27/01/1961;1200;13;11.3;83;;5;5;10;
83920;27/01/1961;1800;16.2;12.8;67;;23;3;10;
83920;28/01/1961;0000;11.1;10;87;;14;1;10;
83920;28/01/1961;1200;12.4;11.1;86;;14;1;8;
83920;28/01/1961;1800;19.9;15.5;63;;18;1;8;
83920;29/01/1961;0000;12.5;12;94;;9;1;10;
83920;29/01/1961;1200;14.1;13.3;92;;36;1;10;
83920;29/01/1961;1800;21;15.8;58;;36;1;9;
83920;30/01/1961;0000;14.2;14;98;;36;1;10;
83920;30/01/1961;1200;16.8;13.6;70;;32;1;0;
83920;30/01/1961;1800;24;17.2;50;;27;1;9;
83920;31/01/1961;0000;15;14.2;92;;36;1;4;
83920;31/01/1961;1200;18.4;15.8;77;;32;3;1;
83920;31/01/1961;1800;26.1;17.8;44;;27;3;9;
83920;01/02/1961;0000;16;13.6;76;;36;1;9;
83920;01/02/1961;1200;21;15.8;58;;32;3;0;
83920;01/02/1961;1800;27.3;18.8;44;;36;1;4;
83920;02/02/1961;0000;19;16;74;;5;1;2;
83920;02/02/1961;1200;19.3;18;88;;36;1;10;
83920;02/02/1961;1800;20;18.8;90;;18;3;10;
83920;03/02/1961;0000;16.1;15.8;97;;36;1;10;
83920;03/02/1961;1200;16.4;16.2;98;;5;1;10;
83920;03/02/1961;1800;17.3;17;97;;9;1;10;
83920;04/02/1961;0000;14.9;14.8;99;;18;5;10;
