<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83922</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : ORLEANS - SC (OMM: 83922)
Latitude  (graus) : -28.33
Longitude (graus) : -49.33
Altitude  (metros): 155.84
Esta��o Desativada
Inicio de opera��o: 01/01/1928
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83922;01/01/1961;1200;21.3;20.9;96;;18;3;10;
83922;01/01/1961;1800;28.7;26.2;81;;18;1;5;
83922;02/01/1961;0000;25.3;23.3;84;;18;1;4;
83922;02/01/1961;1200;24.8;21.3;71;;0;0;0;
83922;02/01/1961;1800;29.9;26.4;75;;18;1;2;
83922;03/01/1961;0000;27;24.5;81;;0;0;0;
83922;03/01/1961;1200;26.5;24.5;84;;0;0;0;
83922;03/01/1961;1800;30.6;28.4;84;;14;1;5;
83922;04/01/1961;0000;23.7;21.6;82;;0;0;8;
83922;04/01/1961;1200;19.2;18.5;93;;18;1;10;
83922;04/01/1961;1800;24.8;21.5;73;;18;1;7;
83922;05/01/1961;0000;22.3;20.4;84;;0;0;8;
83922;05/01/1961;1200;22.1;21;90;;0;0;10;
83922;05/01/1961;1800;26.7;24;79;;5;1;10;
83922;06/01/1961;0000;24.2;22.1;83;;5;1;8;
83922;06/01/1961;1200;24;23.1;92;;5;3;10;
83922;06/01/1961;1800;24.1;22;82;;18;3;10;
83922;07/01/1961;0000;20.2;19;89;;18;1;10;
83922;07/01/1961;1200;19.9;18.7;89;;0;0;0;
83922;07/01/1961;1800;28;25.9;84;;14;1;2;
83922;08/01/1961;0000;20.1;18.3;83;;14;1;3;
83922;08/01/1961;1200;19.9;18.4;86;;0;0;4;
83922;08/01/1961;1800;29.7;25.6;71;;14;1;0;
83922;09/01/1961;0000;24.1;20.5;70;;0;0;2;
83922;09/01/1961;1200;23.2;20.9;80;;0;0;0;
83922;09/01/1961;1800;31.9;26.4;63;;18;3;2;
83922;10/01/1961;0000;26.7;24.1;80;;18;1;4;
83922;10/01/1961;1200;26;24;84;;0;0;0;
83922;10/01/1961;1800;30.2;27.1;78;;23;3;2;
83922;11/01/1961;0000;23;21.8;89;;23;1;3;
83922;11/01/1961;1200;22.7;21.5;89;;0;0;5;
83922;11/01/1961;1800;25.5;21.3;67;;18;3;4;
83922;12/01/1961;0000;23.6;20.6;75;;18;1;6;
83922;12/01/1961;1200;23;22;91;;0;0;3;
83922;12/01/1961;1800;31.7;28.2;76;;23;3;0;
83922;13/01/1961;0000;24;22.2;85;;23;1;0;
83922;13/01/1961;1200;23;21.2;85;;23;1;0;
83922;13/01/1961;1800;35.9;30.2;64;;36;1;0;
83922;14/01/1961;0000;25.4;22.3;75;;36;1;2;
83922;14/01/1961;1200;24.7;22;78;;36;1;0;
83922;14/01/1961;1800;35.5;29.3;62;;18;3;0;
83922;15/01/1961;0000;30.6;26.5;71;;18;1;0;
83922;15/01/1961;1200;30.2;22.6;50;;0;0;0;
83922;15/01/1961;1800;38.9;35;76;;27;1;8;
83922;16/01/1961;0000;30.4;26.9;75;;27;3;0;
83922;16/01/1961;1200;29.5;26.9;80;;0;0;0;
83922;16/01/1961;1800;36.1;31;68;;27;3;0;
83922;17/01/1961;0000;26.4;24.2;83;;0;0;0;
83922;17/01/1961;1200;25.3;23.1;83;;0;0;0;
83922;17/01/1961;1800;39;36;82;;27;1;5;
83922;18/01/1961;0000;23.5;23.3;98;;0;0;10;
83922;18/01/1961;1200;23.9;22.6;89;;0;0;6;
83922;18/01/1961;1800;39.5;35.2;75;;18;1;10;
83922;19/01/1961;0000;24.9;23.3;87;;18;1;8;
83922;19/01/1961;1200;22.7;22.5;99;;0;0;10;
83922;19/01/1961;1800;31.8;29.4;82;;23;3;3;
83922;20/01/1961;0000;25.2;24.3;92;;23;1;4;
83922;20/01/1961;1200;22.5;22;95;;0;0;4;
83922;20/01/1961;1800;35.8;30.4;66;;18;3;3;
83922;21/01/1961;0000;26.9;25.4;88;;18;1;5;
83922;21/01/1961;1200;22;21;91;;0;0;8;
83922;21/01/1961;1800;35.4;30.9;71;;18;3;5;
83922;22/01/1961;0000;25.3;24.2;92;;0;0;9;
83922;22/01/1961;1200;24.1;23;90;;18;1;8;
83922;22/01/1961;1800;26.2;23.4;78;;18;1;4;
83922;23/01/1961;0000;22.4;20.3;81;;18;1;5;
83922;23/01/1961;1200;22.1;20.2;83;;0;0;3;
83922;23/01/1961;1800;28.7;26.1;81;;18;3;0;
83922;24/01/1961;0000;24.4;20.1;66;;18;1;2;
