<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83923</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : URUSSANGA - SC (OMM: 83923)
Latitude  (graus) : -28.51
Longitude (graus) : -49.31
Altitude  (metros): 48.17
Esta��o Operante
Inicio de opera��o: 01/01/1924
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83923;01/01/1961;1200;21.2;20;89;1002.7;32;4;10;
83923;01/01/1961;1800;28.3;23.3;64;1000.7;36;3;9;
83923;02/01/1961;0000;23.5;22.2;89;1002.4;0;0;8;
83923;02/01/1961;1200;26;23.3;78;1001.1;0;0;7;
83923;02/01/1961;1800;31;25;60;1000;0;0;7;
83923;03/01/1961;0000;22.7;21.9;93;1000.6;0;0;0;
83923;03/01/1961;1200;26;23.6;81;1002.3;9;2;3;
83923;03/01/1961;1800;30;24.8;64;1001.8;18;3;7;
83923;04/01/1961;0000;24.3;22.5;85;1002.3;0;0;10;
83923;04/01/1961;1200;19;18.5;95;1005.1;0;0;10;
83923;04/01/1961;1800;23.4;21.1;81;1003.6;14;1;10;
83923;05/01/1961;0000;22.5;21.6;92;1003.1;0;0;9;
83923;05/01/1961;1200;20.7;20.3;96;1005.9;0;0;10;
83923;05/01/1961;1800;26.3;23.3;76;1003.4;5;3;9;
83923;06/01/1961;0000;23;21.7;89;1000;0;0;10;
83923;06/01/1961;1200;24.5;22.6;84;997.9;0;0;10;
83923;06/01/1961;1800;24;23.2;93;997.2;0;0;10;
83923;07/01/1961;0000;22.9;22.5;97;999.8;18;2;10;
83923;07/01/1961;1200;22.5;19;70;1006.8;18;2;6;
83923;07/01/1961;1800;28;21.6;55;1005.2;14;3;6;
83923;08/01/1961;0000;20.7;18.3;78;1008.2;0;0;10;
83923;08/01/1961;1200;22;19;74;1008.2;14;1;5;
83923;08/01/1961;1800;30.7;23.5;52;1005.5;18;2;0;
83923;09/01/1961;0000;23.2;20.4;76;1007.9;18;1;0;
