<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83925</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SANTA MARTA - SC (OMM: 83925)
Latitude  (graus) : -28.6
Longitude (graus) : -48.81
Altitude  (metros): 52.00
Esta��o Operante
Inicio de opera��o: 01/01/1963
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83925;01/01/2015;0000;26.2;23.4;80;;2;2.5722;;
83925;01/01/2015;0600;25.4;23.2;82;;7;2.5722;;
83925;01/01/2015;1200;29;25;72;;0;0;6.25;
83925;01/01/2015;1800;30;26;72;;0;0;10;
83925;02/01/2015;0000;27;24;78;;6;4.62996;;
83925;02/01/2015;0600;25;23;84;;7;5.1444;;
83925;02/01/2015;1200;25.4;22;74;;25;;8.75;
83925;02/01/2015;1800;24;20.8;75;;25;;10;
83925;03/01/2015;0600;22;20;84;;30;6.17328;;
83925;03/01/2015;1200;24;21;77;;24;3.60108;10;
83925;03/01/2015;1800;26;21;64;;0;0;10;
83925;04/01/2015;0000;24;20;69;;6;5.1444;;
83925;04/01/2015;0600;22;18;68;;6;3.60108;;
83925;04/01/2015;1200;26.2;21.6;66;;22;1.54332;1.25;
83925;04/01/2015;1800;26.6;22.6;70;;19;2.05776;1.25;
83925;05/01/2015;0000;24;22;84;;8;2.05776;2.5;
83925;05/01/2015;0600;21.6;20;87;;33;2.5722;2.5;
83925;05/01/2015;1200;26;23;78;;0;0;2.5;
83925;06/01/2015;0600;24;23;92;;6;8.74548;;
83925;06/01/2015;1200;26.6;24;81;;7;;6.25;
83925;06/01/2015;1800;26.4;24.2;82;;8;;2.5;
83925;07/01/2015;0000;25;23.8;90;;7;;;
83925;07/01/2015;0600;24;22.8;90;;6;;;
83925;07/01/2015;1200;26;24;84;;6;10.2888;5;
83925;07/01/2015;1800;25;23;84;;6;9.25992;10;
83925;08/01/2015;1200;26.8;25;84;;9;4.62996;6.25;
83925;08/01/2015;1800;27.4;25.6;86;;11;1.54332;6.25;
83925;09/01/2015;0600;25;24;92;;0;0;;
83925;09/01/2015;1800;28;25;79;;0;0;6.25;
83925;10/01/2015;1200;29.8;25.8;71;;0;0;2.5;
83925;12/01/2015;0600;25;24;92;;0;0;;
83925;12/01/2015;1200;29.4;25.4;72;;35;2.5722;7.5;
83925;13/01/2015;0000;28;25;79;;6;1.54332;;
83925;13/01/2015;0600;26.4;25;89;;0;0;;
83925;13/01/2015;1200;29;26;79;;0;0;10;
83925;13/01/2015;1800;29;26;79;;11;8.23104;3.75;
83925;14/01/2015;0000;27;26;93;;6;6.17328;;
83925;14/01/2015;1800;28.8;25.4;76;;8;7.7166;6.25;
83925;15/01/2015;0000;26;23.8;82;;1;3.60108;;
83925;15/01/2015;0600;25.4;23.8;79;;32;4.11552;;
83925;15/01/2015;1200;25;24;92;;28;3.60108;10;
83925;15/01/2015;1800;27;24;64;;21;4.62996;10;
83925;16/01/2015;0000;24;23;92;;15;6.17328;;
83925;16/01/2015;1200;25.6;24;87;;28;4.11552;8.75;
83925;16/01/2015;1800;28;25;79;;11;4.11552;5;
83925;17/01/2015;0000;26.8;25;86;;8;4.11552;;
83925;17/01/2015;0600;25;22;77;;33;4.11552;;
83925;17/01/2015;1200;28.4;24.4;71;;0;0;10;
83925;18/01/2015;0000;24.4;23.2;90;;34;4.62996;;
83925;18/01/2015;0600;24;23.4;95;;29;3.60108;;
83925;18/01/2015;1200;27.8;25.4;82;;28;3.08664;7.5;
83925;18/01/2015;1800;26;25;92;;18;4.11552;10;
83925;19/01/2015;0000;25.8;24;85;;8;3.08664;;
83925;19/01/2015;0600;25;24;92;;4;3.08664;;
83925;19/01/2015;1800;29;26;79;;0;0;2.5;
83925;20/01/2015;0000;27;25;85;;25;3.60108;;
83925;20/01/2015;0600;25;23;84;;22;3.60108;;
83925;20/01/2015;1200;29;26;79;;0;0;10;
83925;20/01/2015;1800;27.6;25;81;;22;3.08664;10;
83925;21/01/2015;0600;23.2;22.4;93;;21;;;
83925;21/01/2015;1200;24;21.2;78;;29;5.1444;10;
83925;21/01/2015;1800;25.2;23.8;88;;24;6.17328;10;
83925;22/01/2015;0000;25;23;84;;18;9.25992;;
83925;22/01/2015;0600;24;23;92;;17;6.17328;;
83925;23/01/2015;0000;24;23;92;;16;7.7166;;
83925;23/01/2015;0600;24;22;84;;9;5.1444;;
83925;23/01/2015;1200;26.2;24.4;85;;29;1.02888;7.5;
83925;23/01/2015;1800;26.4;24.4;83;;15;3.60108;3.75;
83925;24/01/2015;0000;25;23;84;;12;4.62996;;
83925;24/01/2015;0600;21.8;21.4;96;;34;3.60108;;
83925;24/01/2015;1200;28;25;79;;8;3.08664;1.25;
83925;24/01/2015;1800;27.8;25;80;;11;4.11552;0;
83925;25/01/2015;0000;25.8;24;85;;7;4.11552;;
83925;25/01/2015;0600;24.8;24;94;;4;5.1444;;
83925;25/01/2015;1200;25;24;92;;0;0;10;
83925;25/01/2015;1800;27;25;85;;6;3.60108;3.75;
83925;26/01/2015;0000;25;23;84;;32;3.60108;;
83925;26/01/2015;0600;24;21;77;;31;3.60108;;
83925;26/01/2015;1200;29.8;26.6;76;;32;2.5722;0;
83925;27/01/2015;0000;26.4;25;89;;5;3.08664;;
83925;27/01/2015;0600;25.6;24.8;93;;6;6.68772;;
83925;27/01/2015;1200;27;26;93;;7;6.17328;7.5;
83925;27/01/2015;1800;28.2;27;89;;8;;7.5;
83925;28/01/2015;0000;26.8;26;94;;6;9.25992;;
83925;28/01/2015;0600;25.2;24.6;95;;6;6.17328;;
83925;28/01/2015;1200;28;26;85;;7;6.17328;7.5;
83925;28/01/2015;1800;27;25;93;;7;10.2888;6.25;
83925;29/01/2015;0000;25;24;92;;30;5.1444;;
83925;29/01/2015;0600;26;23;78;;35;4.11552;;
83925;29/01/2015;1200;27.8;26.2;87;;33;1.02888;10;
83925;29/01/2015;1800;24.8;24.2;95;;25;;10;
83925;30/01/2015;0600;21.4;20.8;95;;31;5.1444;;
83925;30/01/2015;1200;23.8;22.4;89;;29;4.11552;10;
83925;30/01/2015;1800;24;22;84;;0;0;10;
83925;31/01/2015;0000;22;21;92;;33;3.08664;;
83925;31/01/2015;0600;20.8;20;93;;32;3.08664;;
83925;31/01/2015;1200;23;22;92;;8;3.60108;10;
83925;31/01/2015;1800;25;24;92;;8;6.17328;6.25;
83925;01/02/2015;0000;25;23;84;;9;5.65884;;
83925;01/02/2015;0600;24;23;92;;6;3.60108;;
83925;01/02/2015;1200;26;24.4;87;;8;7.7166;1.25;
83925;02/02/2015;0000;25;24;92;;8;;;
83925;02/02/2015;0600;23.8;23.4;96;;6;;;
83925;02/02/2015;1200;26.2;25;91;;7;9.25992;2.5;
83925;02/02/2015;1800;26.8;25;86;;8;;1.25;
83925;03/02/2015;0000;24.4;24;97;;8;;3.75;
83925;03/02/2015;0600;23;22;92;;8;7.20216;;
83925;03/02/2015;1200;26;24;84;;6;6.17328;5;
83925;04/02/2015;0000;23;22;92;;6;6.17328;;
83925;04/02/2015;0600;22;21;92;;6;6.17328;;
83925;04/02/2015;1200;25.8;24.2;87;;1;4.11552;10;
83925;04/02/2015;1800;22.8;22.6;98;;9;7.7166;7.5;
83925;05/02/2015;0000;23.2;22.4;93;;10;4.62996;;
83925;05/02/2015;0600;23;22.6;96;;30;4.62996;;
83925;05/02/2015;1200;23.8;23;94;;25;4.11552;6.25;
83925;06/02/2015;0000;24;23.2;94;;21;4.11552;5;
83925;06/02/2015;0600;24;23.4;95;;29;4.11552;;
83925;06/02/2015;1200;24;23;92;;24;4.62996;10;
83925;06/02/2015;1800;25;24;92;;24;8.23104;2.5;
83925;07/02/2015;0000;24;22;84;;26;6.17328;;
83925;07/02/2015;0600;22;21;92;;30;5.1444;;
83925;07/02/2015;1200;25;22.6;81;;29;3.60108;1.25;
83925;07/02/2015;1800;25.6;23.6;83;;24;9.25992;1.25;
83925;08/02/2015;0000;24.2;23;90;;26;8.74548;;
83925;08/02/2015;0600;22.6;21.8;94;;31;6.68772;10;
83925;08/02/2015;1200;25.4;23;81;;28;2.05776;0;
83925;08/02/2015;1800;26.4;24.4;83;;11;4.11552;3.75;
83925;09/02/2015;0000;25.4;24;89;;8;6.17328;;
83925;09/02/2015;0600;25;24.2;93;;6;3.08664;;
83925;09/02/2015;1200;26;24;84;;6;8.23104;1.25;
83925;09/02/2015;1800;27;26;93;;6;;7.5;
83925;10/02/2015;0600;25;24;92;;6;10.2888;;
83925;10/02/2015;1200;26.2;25.2;92;;6;8.74548;0;
83925;10/02/2015;1800;25.8;25;94;;7;;3.75;
83925;11/02/2015;0000;24.4;24;97;;5;8.74548;;
83925;11/02/2015;0600;24.4;23.8;95;;7;1.54332;;
83925;11/02/2015;1800;26.6;26;96;;18;2.05776;8.75;
83925;12/02/2015;0000;25.2;25;99;;33;3.08664;10;
83925;12/02/2015;0600;24;23;92;;6;4.11552;;
83925;12/02/2015;1200;27;26;93;;0;0;3.75;
83925;12/02/2015;1800;28;26;85;;24;3.60108;2.5;
83925;13/02/2015;0000;27;26;93;;0;0;;
83925;13/02/2015;0600;26;25;92;;0;0;;
83925;13/02/2015;1200;27.8;27;94;;0;0;10;
83925;14/02/2015;0000;26;25;92;;14;4.11552;10;
83925;14/02/2015;0600;24;23.4;95;;30;4.11552;;
83925;14/02/2015;1200;23.6;23;95;;28;3.08664;10;
83925;14/02/2015;1800;26.6;24.6;81;;14;5.1444;6.25;
83925;15/02/2015;0000;24.8;23;85;;14;8.23104;10;
83925;15/02/2015;0600;23;22.2;93;;15;8.23104;10;
