<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83936</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SANTA MARIA - RS (OMM: 83936)
Latitude  (graus) : -29.7
Longitude (graus) : -53.7
Altitude  (metros): 95.00
Esta��o Operante
Inicio de opera��o: 01/01/1912
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83936;01/01/1961;1200;23.9;21.4;79;990.3;;0;0;
83936;01/01/1961;1800;30.6;25.1;63;988.2;;3;9;
83936;02/01/1961;0000;27.7;24.4;75;986.4;;0;0;
83936;02/01/1961;1200;26.4;23.8;79;989.4;;0;4;
83936;02/01/1961;1800;30.8;25.2;62;989;;1;10;
83936;03/01/1961;0000;27.6;24.6;78;988.2;;1;0;
83936;03/01/1961;1200;23.3;19.9;72;991.1;;3;8;
83936;03/01/1961;1800;31.2;23.6;51;990.3;;5;10;
83936;04/01/1961;0000;22.9;19.4;71;991.2;;7;10;
83936;04/01/1961;1200;22;19;74;993.1;;1;0;
83936;04/01/1961;1800;31;22;43;992.8;;3;5;
83936;05/01/1961;0000;25.8;20.2;58;990.2;;0;0;
83936;05/01/1961;1200;21;17.4;68;992;;3;3;
83936;05/01/1961;1800;32.7;24.8;50;987.6;;3;10;
83936;06/01/1961;0000;23.2;21.8;87;985.8;;1;10;
83936;06/01/1961;1200;19.4;18.9;95;988;;3;10;
83936;06/01/1961;1800;26;22.1;70;989.4;;3;10;
83936;07/01/1961;0000;23.6;20.4;73;990;;0;10;
83936;07/01/1961;1200;19.7;17.1;76;996.3;;3;0;
83936;07/01/1961;1800;28.8;20.6;45;994.7;;3;1;
83936;08/01/1961;0000;24.2;18.4;55;992.6;;3;0;
83936;08/01/1961;1200;20.1;17.8;78;994.6;;1;0;
83936;08/01/1961;1800;33.1;25.4;52;991.9;;1;4;
83936;09/01/1961;0000;29.2;24.4;66;989.8;;1;9;
83936;09/01/1961;1200;24.7;22.4;81;992.2;;1;9;
83936;09/01/1961;1800;35.5;25.8;44;989.9;;5;9;
83936;10/01/1961;0000;31;24.6;58;986.6;;1;0;
83936;10/01/1961;1200;21.6;20.6;91;993.6;;1;10;
83936;10/01/1961;1800;26.9;24.1;79;994;;1;10;
83936;11/01/1961;0000;23.8;22.6;90;994.4;;0;0;
83936;11/01/1961;1200;21.4;18.9;78;998.3;;3;0;
83936;11/01/1961;1800;29.2;22;51;997.2;;3;8;
83936;12/01/1961;0000;23.9;19;61;995.6;;3;0;
83936;12/01/1961;1200;20.4;18.7;85;996;;3;0;
83936;12/01/1961;1800;33.6;26.6;56;993.6;;3;8;
83936;13/01/1961;0000;29.6;25.4;69;991.8;;1;3;
83936;13/01/1961;1200;27.9;22.4;60;993.1;;9;3;
83936;13/01/1961;1800;36;26.2;44;991.2;;1;9;
83936;14/01/1961;0000;30.6;24.6;60;989.3;;3;8;
83936;14/01/1961;1200;29;23;58;997.6;;5;4;
83936;14/01/1961;1800;34.2;25.5;47;991.2;;7;10;
83936;15/01/1961;0000;30.4;25.1;64;989.2;;0;10;
83936;15/01/1961;1200;29.4;24.6;67;991.6;;5;10;
