<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83938</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SOLEDADE - RS (OMM: 83938)
Latitude  (graus) : -28.83
Longitude (graus) : -52.51
Altitude  (metros): 720.00
Esta��o Desativada
Inicio de opera��o: 01/01/1914
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83938;01/01/1961;1200;24;21;75;;5;1;0;
83938;01/01/1961;1800;28;22;58;;5;1;0;
83938;02/01/1961;0000;24.5;21.5;75;;5;1;0;
83938;02/01/1961;1200;24;21;75;;36;1;0;
83938;02/01/1961;1800;29;22;53;;36;1;0;
83938;03/01/1961;0000;25;21.2;71;;23;1;4;
83938;03/01/1961;1200;23.5;21.5;83;;9;1;0;
83938;03/01/1961;1800;27.4;25;81;;5;1;10;
83938;04/01/1961;0000;19.5;19.5;100;;14;1;10;
83938;04/01/1961;1200;16;16;100;;14;1;10;
83938;04/01/1961;1800;25;19;55;;14;1;0;
83938;05/01/1961;0000;22;18;67;;9;1;5;
83938;05/01/1961;1200;22;19.5;78;;9;1;0;
83938;05/01/1961;1800;28;23;65;;5;1;6;
83938;06/01/1961;0000;26;22.5;74;;5;1;10;
83938;06/01/1961;1200;17.5;17.5;100;;5;1;10;
83938;06/01/1961;1800;20;20;100;;23;1;10;
83938;07/01/1961;0000;19;18;90;;23;1;5;
83938;07/01/1961;1200;17.8;15;74;;9;1;0;
83938;07/01/1961;1800;25;19;55;;14;1;0;
83938;08/01/1961;0000;17;15;80;;14;1;0;
83938;08/01/1961;1200;22.7;19.5;73;;9;1;0;
83938;08/01/1961;1800;28.5;22;55;;9;1;0;
83938;09/01/1961;0000;25.5;21.5;69;;5;1;0;
83938;09/01/1961;1200;23.2;20;74;;9;1;0;
83938;09/01/1961;1800;30;22.8;53;;5;1;0;
83938;10/01/1961;0000;26.5;22.5;70;;5;1;0;
83938;10/01/1961;1200;22.5;20;78;;36;1;10;
83938;10/01/1961;1800;24;24;100;;32;1;10;
83938;11/01/1961;0000;19.5;19;95;;9;1;8;
83938;11/01/1961;1200;20.9;17.6;72;;14;1;10;
83938;11/01/1961;1800;25;19;55;;14;1;5;
83938;12/01/1961;0000;19.3;17;77;;14;1;0;
83938;12/01/1961;1200;22.5;20;79;;36;1;0;
83938;12/01/1961;1800;30.5;23;51;;36;1;0;
83938;13/01/1961;0000;27;22.5;67;;5;1;0;
83938;13/01/1961;1200;24.5;20.5;69;;5;1;0;
83938;13/01/1961;1800;31;22.4;46;;5;1;0;
83938;14/01/1961;0000;25.5;21.5;69;;5;1;0;
83938;14/01/1961;1200;22.5;20;78;;5;1;8;
83938;14/01/1961;1800;29.4;22;51;;5;1;6;
83938;15/01/1961;0000;25;21;69;;5;1;3;
83938;15/01/1961;1200;25;22;76;;36;1;6;
83938;15/01/1961;1800;30.4;24;58;;36;1;5;
83938;16/01/1961;0000;27.5;24;73;;36;1;8;
83938;16/01/1961;1200;26.4;23;74;;36;1;0;
83938;16/01/1961;1800;30;24;60;;5;1;8;
83938;17/01/1961;0000;24;22.5;87;;5;1;2;
83938;17/01/1961;1200;25;23;84;;36;3;0;
83938;17/01/1961;1800;26;25.5;95;;36;3;10;
83938;18/01/1961;0000;18.5;18.5;100;;14;1;10;
83938;18/01/1961;1200;19.7;18.4;88;;9;3;10;
83938;18/01/1961;1800;23.5;21;79;;14;1;5;
83938;19/01/1961;0000;21;20;91;;14;3;8;
83938;19/01/1961;1200;24.5;22;79;;36;1;0;
83938;19/01/1961;1800;30.8;23;50;;36;1;0;
83938;20/01/1961;0000;24;22;83;;14;3;0;
83938;20/01/1961;1200;26;23.5;80;;32;1;0;
83938;20/01/1961;1800;31.5;24.2;53;;9;1;0;
83938;21/01/1961;0000;28;23;65;;23;1;3;
