<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83940</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : TAQUARI - RS (OMM: 83940)
Latitude  (graus) : -29.8
Longitude (graus) : -51.81
Altitude  (metros): 76.00
Esta��o Desativada
Inicio de opera��o: 01/01/1912
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83940;01/01/1961;1200;25.8;23.2;80;;14;1;2;
83940;01/01/1961;1800;31.8;23.7;48;;14;2;4;
83940;02/01/1961;0000;25.9;22.6;75;;9;1;0;
83940;02/01/1961;1200;28;22.5;60;;36;2;0;
83940;02/01/1961;1800;35;24.5;40;;23;2;9;
83940;03/01/1961;0000;27;23.5;73;;14;2;1;
83940;03/01/1961;1200;24.5;22.5;83;;14;2;10;
83940;03/01/1961;1800;27.5;21.6;57;;14;4;10;
83940;04/01/1961;0000;21;19.8;89;;14;1;10;
83940;04/01/1961;1200;23.5;19.4;66;;9;2;8;
83940;04/01/1961;1800;28.8;19.5;38;;14;3;1;
83940;05/01/1961;0000;22.2;16.9;56;;14;3;4;
83940;05/01/1961;1200;24.8;20.4;65;;9;4;0;
83940;05/01/1961;1800;31.5;23.2;47;;14;3;10;
83940;06/01/1961;0000;25;22.1;77;;14;3;10;
83940;06/01/1961;1200;23;21.5;87;;32;3;10;
83940;06/01/1961;1800;26.5;21.9;65;;23;2;10;
83940;07/01/1961;0000;21;18.5;78;;14;5;4;
83940;07/01/1961;1200;20.9;16.9;65;;14;1;2;
83940;07/01/1961;1800;27;19.2;45;;14;2;0;
83940;08/01/1961;0000;20.5;16.7;66;;14;4;0;
83940;08/01/1961;1200;23;19.5;71;;9;1;0;
83940;08/01/1961;1800;32.2;23.5;45;;14;4;1;
83940;09/01/1961;0000;23.5;19.8;69;;14;4;0;
83940;09/01/1961;1200;26.5;22;66;;14;1;2;
83940;09/01/1961;1800;34.7;24.5;41;;9;3;7;
83940;10/01/1961;0000;25.8;21.9;69;;9;3;0;
83940;10/01/1961;1200;20.5;20;95;;14;1;10;
83940;10/01/1961;1800;23.9;22;84;;36;1;10;
83940;11/01/1961;0000;24.4;22.1;81;;14;3;3;
83940;11/01/1961;1200;24;20.8;73;;14;4;5;
83940;11/01/1961;1800;27.3;19.8;47;;14;5;2;
83940;12/01/1961;0000;21.3;17.8;69;;14;4;0;
83940;12/01/1961;1200;24.4;20;65;;14;3;0;
83940;12/01/1961;1800;31;24;54;;14;3;0;
