<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83941</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : BENTO GONCALVES - RS (OMM: 83941)
Latitude  (graus) : -29.15
Longitude (graus) : -51.51
Altitude  (metros): 640.00
Esta��o Operante
Inicio de opera��o: 01/02/1918
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83941;01/01/1961;1200;22.5;20;78;;9;1;2;
83941;01/01/1961;1800;28;23.5;67;;14;1;0;
83941;02/01/1961;0000;23;20.5;79;;14;1;2;
83941;02/01/1961;1200;23.5;20;72;;36;1;0;
83941;02/01/1961;1800;30;22;48;;23;1;2;
83941;03/01/1961;0000;25;24.5;96;;14;1;4;
83941;03/01/1961;1200;23;21;83;;9;1;8;
83941;03/01/1961;1800;27.5;21.5;57;;0;0;2;
83941;04/01/1961;0000;19;18.5;95;;9;1;10;
83941;04/01/1961;1200;18.5;17.5;90;;9;1;2;
83941;04/01/1961;1800;24.5;20;65;;14;1;4;
83941;05/01/1961;0000;19.5;16.5;73;;14;1;8;
83941;05/01/1961;1200;20;17.5;77;;5;1;0;
83941;05/01/1961;1800;29;22.5;56;;0;0;2;
83941;06/01/1961;0000;25.6;20;58;;0;0;8;
83941;06/01/1961;1200;19.2;19;98;;5;1;10;
83941;06/01/1961;1800;20;19;91;;14;1;10;
83941;07/01/1961;0000;19.4;18;86;;14;1;10;
83941;07/01/1961;1200;16.5;13;66;;9;1;1;
83941;07/01/1961;1800;23.5;17.5;53;;14;1;0;
83941;08/01/1961;0000;16;15;89;;14;1;0;
83941;08/01/1961;1200;19.5;17.5;81;;5;1;0;
83941;08/01/1961;1800;28.5;22;55;;14;1;0;
83941;09/01/1961;0000;24.5;20.6;70;;14;1;0;
83941;09/01/1961;1200;21.5;18.5;74;;5;1;0;
83941;09/01/1961;1800;30;23.5;57;;0;0;0;
83941;10/01/1961;0000;25.5;21;66;;36;1;0;
83941;10/01/1961;1200;19;18;90;;14;1;10;
83941;10/01/1961;1800;21;19;82;;5;1;10;
83941;11/01/1961;0000;20;19;91;;5;1;10;
83941;11/01/1961;1200;20;18.5;86;;14;1;2;
83941;11/01/1961;1800;24;20.5;72;;14;1;0;
83941;12/01/1961;0000;19.5;17;77;;14;1;0;
83941;12/01/1961;1200;22.5;19.5;74;;5;1;0;
83941;12/01/1961;1800;31;21.5;41;;14;1;0;
83941;13/01/1961;0000;25.5;21.5;69;;14;1;0;
83941;13/01/1961;1200;22;19;74;;5;1;0;
