<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83943</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : TAQUARA - RS (OMM: 83943)
Latitude  (graus) : -29.75
Longitude (graus) : -50.75
Altitude  (metros): 35.00
Esta��o Desativada
Inicio de opera��o: 01/01/1922
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83943;01/01/1961;1200;24;22;83;;0;0;10;
83943;01/01/1961;1800;35;23.2;34;;0;0;7;
83943;02/01/1961;0000;23;21;83;;0;0;4;
83943;02/01/1961;1200;29.5;22.5;52;;0;0;3;
83943;02/01/1961;1800;35.4;25.3;42;;0;0;8;
83943;03/01/1961;0000;25.5;23;80;;0;0;7;
83943;03/01/1961;1200;26.8;24;78;;0;0;10;
83943;03/01/1961;1800;26;22;69;;14;3;10;
83943;04/01/1961;0000;22.5;19;70;;18;3;10;
83943;04/01/1961;1200;22;19.4;77;;18;3;10;
83943;04/01/1961;1800;30;21.5;44;;14;1;6;
83943;05/01/1961;0000;21.5;19;78;;14;1;5;
83943;05/01/1961;1200;25.5;20.2;60;;0;0;0;
83943;05/01/1961;1800;33;25.4;52;;14;1;5;
83943;06/01/1961;0000;25;22;76;;0;0;7;
83943;06/01/1961;1200;22.8;21.5;89;;5;1;10;
83943;06/01/1961;1800;25.7;23;78;;5;1;10;
83943;07/01/1961;0000;21.8;20.8;91;;0;0;10;
83943;07/01/1961;1200;21.5;17.5;65;;18;1;0;
83943;07/01/1961;1800;26.4;20;53;;14;3;0;
83943;08/01/1961;0000;20;17.4;76;;0;0;0;
83943;08/01/1961;1200;23.8;19.7;67;;0;0;0;
83943;08/01/1961;1800;32.3;21.5;35;;0;0;0;
83943;09/01/1961;0000;21.5;19.5;82;;0;0;0;
83943;09/01/1961;1200;28.5;22;54;;0;0;0;
83943;09/01/1961;1800;34;25.5;48;;0;0;0;
83943;10/01/1961;0000;26;24;84;;0;0;0;
83943;10/01/1961;1200;28.3;20.7;47;;23;5;10;
83943;10/01/1961;1800;26.3;22.6;72;;23;1;10;
83943;11/01/1961;0000;22.5;21.8;93;;0;0;10;
83943;11/01/1961;1200;24.2;21.3;76;;0;0;8;
83943;11/01/1961;1800;27.4;21;54;;14;1;6;
83943;12/01/1961;0000;21;18.5;78;;14;1;7;
83943;12/01/1961;1200;25.5;18.8;50;;0;0;0;
83943;12/01/1961;1800;33.8;25.3;48;;0;0;0;
83943;13/01/1961;0000;25.2;23;82;;0;0;0;
83943;13/01/1961;1200;29.7;22.8;53;;0;0;0;
83943;13/01/1961;1800;36.2;27.5;49;;0;0;0;
83943;14/01/1961;0000;27.3;24.8;81;;0;0;0;
83943;14/01/1961;1200;30.8;23.5;52;;14;1;1;
83943;14/01/1961;1800;37.2;27;43;;14;1;10;
83943;15/01/1961;0000;27;24;77;;0;0;10;
83943;15/01/1961;1200;31.5;25;57;;0;0;1;
83943;15/01/1961;1800;37.2;23.7;29;;0;0;10;
83943;16/01/1961;0000;24.6;23.5;91;;0;0;10;
83943;16/01/1961;1200;29.5;25.5;71;;0;0;3;
83943;16/01/1961;1800;32;25.5;58;;27;1;10;
83943;17/01/1961;0000;28;24;70;;0;0;8;
83943;17/01/1961;1200;32.5;24.5;50;;0;0;4;
83943;17/01/1961;1800;29;25;71;;23;1;10;
83943;18/01/1961;0000;23.5;22.5;91;;0;0;10;
83943;18/01/1961;1200;24;21.8;81;;14;1;8;
83943;18/01/1961;1800;26.4;23.5;77;;18;3;8;
83943;19/01/1961;0000;23;21.5;87;;18;1;8;
83943;19/01/1961;1200;27.5;24.3;75;;0;0;0;
83943;19/01/1961;1800;33.5;24.7;46;;0;0;0;
83943;20/01/1961;0000;25.2;23.5;86;;0;0;0;
83943;20/01/1961;1200;28.3;24;68;;0;0;0;
83943;20/01/1961;1800;37.4;27.3;44;;0;0;0;
83943;21/01/1961;0000;28.6;25.5;77;;0;0;0;
83943;21/01/1961;1200;26.5;24.2;82;;0;0;10;
83943;21/01/1961;1800;28.2;25.5;80;;0;0;10;
83943;22/01/1961;0000;26;24;84;;23;1;10;
83943;22/01/1961;1200;25.4;22.1;74;;0;0;10;
83943;22/01/1961;1800;27;21;56;;18;1;5;
83943;23/01/1961;0000;20.8;18.5;80;;0;0;6;
83943;23/01/1961;1200;23.8;19.3;63;;0;0;0;
83943;23/01/1961;1800;31;22;43;;0;0;0;
83943;24/01/1961;0000;22.5;19.8;76;;0;0;0;
83943;24/01/1961;1200;25;21;68;;0;0;0;
83943;24/01/1961;1800;33.5;24.2;44;;0;0;0;
83943;25/01/1961;0000;25;22.5;80;;0;0;6;
83943;25/01/1961;1200;21.6;20;86;;14;3;10;
83943;25/01/1961;1800;22.3;18.8;70;;14;1;10;
83943;26/01/1961;0000;20;17;73;;0;0;7;
83943;26/01/1961;1200;22.8;19;68;;14;3;7;
83943;26/01/1961;1800;25.4;21;66;;14;1;7;
83943;27/01/1961;0000;20.3;17.2;73;;14;1;10;
83943;27/01/1961;1200;22.5;19.3;72;;14;1;2;
83943;27/01/1961;1800;27.2;19.5;46;;18;1;4;
83943;28/01/1961;0000;20;17;73;;0;0;0;
83943;28/01/1961;1200;23.5;19;63;;0;0;2;
83943;28/01/1961;1800;28.8;21.5;50;;23;1;4;
83943;29/01/1961;0000;22.3;18.7;70;;0;0;6;
83943;29/01/1961;1200;22.7;19.5;73;;0;0;8;
83943;29/01/1961;1800;30.5;21;39;;0;0;8;
83943;30/01/1961;0000;22;20;82;;0;0;8;
83943;30/01/1961;1200;25.8;20.8;62;;0;0;0;
83943;30/01/1961;1800;34.5;23;34;;0;0;6;
83943;31/01/1961;0000;23;20.8;81;;0;0;0;
83943;31/01/1961;1200;27;22;63;;0;0;0;
83943;31/01/1961;1800;35.8;26;44;;0;0;6;
83943;01/02/1961;0000;25.5;21.2;66;;0;0;0;
83943;01/02/1961;1200;29.8;23.2;55;;0;0;0;
83943;01/02/1961;1800;36;28.4;55;;0;0;2;
83943;02/02/1961;0000;29;23.5;61;;32;3;10;
83943;02/02/1961;1200;24.6;22.7;85;;0;0;2;
83943;02/02/1961;1800;33;25.3;52;;23;1;9;
83943;03/02/1961;0000;25;22.5;80;;14;1;10;
83943;03/02/1961;1200;25.5;22.5;76;;0;0;8;
83943;03/02/1961;1800;29.3;22.8;55;;14;1;7;
83943;04/02/1961;0000;23.6;21;78;;14;1;3;
83943;04/02/1961;1200;23.8;20.5;73;;0;0;2;
83943;04/02/1961;1800;30.5;23.2;51;;23;1;5;
83943;05/02/1961;0000;23;20.5;79;;0;0;5;
83943;05/02/1961;1200;26;21.8;67;;0;0;1;
83943;05/02/1961;1800;32.7;23;41;;0;0;10;
83943;06/02/1961;0000;22.5;21;87;;0;0;7;
