<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83944</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CANELA - RS (OMM: 83944)
Latitude  (graus) : -29.36
Longitude (graus) : -50.8
Altitude  (metros): 830.00
Esta��o Desativada
Inicio de opera��o: 01/01/1972
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83944;01/01/1972;1200;24.5;20.9;71;;36;1;4;
83944;01/01/1972;1800;27;21.5;60;;18;1;8;
83944;02/01/1972;0000;22.5;19.5;75;;0;0;7;
83944;02/01/1972;1200;23;20.4;79;;36;1;3;
83944;02/01/1972;1800;24.7;21;71;;14;1;10;
83944;03/01/1972;0000;19.3;19;97;;0;0;10;
83944;03/01/1972;1200;23;20.5;80;;32;1;9;
83944;03/01/1972;1800;26.5;26.3;98;;36;1;7;
83944;04/01/1972;0000;20.3;20.3;100;;27;1;10;
83944;04/01/1972;1200;22;20.8;89;937.2;32;1;9;
83944;04/01/1972;1800;19.8;19.5;97;;18;1;10;
83944;05/01/1972;0000;20.7;20.4;97;;36;1;10;
83944;05/01/1972;1200;16.4;16;96;;14;1;10;
83944;05/01/1972;1800;16;16;100;;18;1;10;
83944;06/01/1972;0000;13;13;100;;18;1;10;
83944;06/01/1972;1200;12.4;12.4;100;;23;1;10;
83944;06/01/1972;1800;16;14.5;85;;18;1;8;
83944;07/01/1972;0000;16.3;16;97;;9;1;10;
83944;07/01/1972;1200;15.4;13.5;81;;18;1;1;
83944;07/01/1972;1800;17;15;81;;18;1;8;
83944;08/01/1972;0000;14;13.5;94;;9;1;10;
83944;08/01/1972;1200;14.5;14.4;99;;9;1;10;
83944;08/01/1972;1800;17.4;15.6;83;;14;1;3;
83944;09/01/1972;0000;13.4;13.1;97;;9;1;2;
83944;09/01/1972;1200;18.2;14;62;;27;3;2;
83944;09/01/1972;1800;21.6;15.2;49;;18;1;0;
83944;10/01/1972;0000;18.4;14;61;;27;1;3;
83944;10/01/1972;1200;21.5;18;70;;36;4;3;
83944;10/01/1972;1800;26.4;19.1;50;;18;1;4;
83944;11/01/1972;0000;18.8;17.2;86;;9;1;0;
83944;11/01/1972;1200;21.2;16.6;63;;36;3;0;
83944;11/01/1972;1800;28.1;20;46;;18;1;5;
83944;12/01/1972;0000;21.4;18.7;78;;9;3;0;
83944;12/01/1972;1200;21.7;18.5;73;;36;3;2;
83944;12/01/1972;1800;27.4;20.4;52;;0;0;7;
83944;13/01/1972;0000;23.9;22.7;90;;27;1;10;
83944;13/01/1972;1200;21.7;18.8;75;;36;1;1;
83944;13/01/1972;1800;26.7;22.4;68;;18;3;7;
83944;14/01/1972;0000;18;17.9;99;;36;1;10;
83944;14/01/1972;1200;21.2;18.6;78;;36;5;9;
83944;14/01/1972;1800;28.4;21;51;;18;1;7;
83944;15/01/1972;0000;18.8;18.5;97;;0;0;10;
83944;15/01/1972;1200;22;19.8;81;;9;1;9;
83944;15/01/1972;1800;20.4;19;87;;18;1;9;
83944;16/01/1972;0000;19;18.2;92;;9;1;9;
83944;16/01/1972;1200;23.5;19.7;70;;36;6;5;
83944;16/01/1972;1800;28.9;21;48;;36;1;6;
83944;17/01/1972;0000;18.5;18.3;98;;0;0;10;
83944;17/01/1972;1200;21.4;18.6;77;;36;1;9;
83944;17/01/1972;1800;26.8;21.5;61;;18;1;9;
83944;18/01/1972;0000;18.1;17.6;95;;36;7;10;
83944;18/01/1972;1200;22.5;19.9;78;;32;1;8;
83944;18/01/1972;1800;22.3;21.4;92;;18;1;9;
83944;19/01/1972;0000;19.6;19.4;98;;0;0;0;
83944;19/01/1972;1200;21.5;20.1;87;;36;1;3;
83944;19/01/1972;1800;24.4;21.9;80;;18;1;8;
83944;20/01/1972;0000;21.2;20;89;;9;1;10;
83944;20/01/1972;1200;19.7;19;94;;36;1;10;
83944;20/01/1972;1800;18;18;100;;18;1;10;
83944;21/01/1972;0000;17.4;17.4;100;;9;1;10;
83944;21/01/1972;1200;17;17;100;;9;1;10;
83944;21/01/1972;1800;18.4;17.5;91;;18;1;10;
83944;22/01/1972;0000;15.8;14.6;87;;9;1;1;
83944;22/01/1972;1200;21;20.1;92;;9;1;9;
83944;22/01/1972;1800;20.2;17;72;;18;1;5;
83944;23/01/1972;0000;15;13.9;89;;9;1;0;
83944;23/01/1972;1200;17.4;15.1;78;;18;1;1;
83944;23/01/1972;1800;20.7;17;68;;18;3;6;
83944;24/01/1972;0000;14.4;13.5;91;;0;0;1;
83944;24/01/1972;1200;13.6;12.3;86;;5;3;7;
83944;24/01/1972;1800;22;17.5;64;;18;3;3;
83944;25/01/1972;0000;16.4;15.4;90;;9;1;2;
83944;25/01/1972;1200;17.6;15.1;77;;36;1;1;
83944;25/01/1972;1800;25.6;20;59;;18;1;1;
83944;26/01/1972;0000;20.4;18.5;84;;0;0;0;
83944;26/01/1972;1200;21.5;19;79;;36;1;0;
83944;26/01/1972;1800;27.7;19.1;43;;18;1;6;
83944;27/01/1972;0000;21.8;19;77;;9;1;5;
83944;27/01/1972;1200;22.5;18.3;65;;36;3;1;
83944;27/01/1972;1800;26.4;20.6;60;;18;1;4;
83944;28/01/1972;0000;21.4;18.5;76;;0;0;9;
83944;28/01/1972;1200;15.7;15.7;100;;9;1;10;
83944;28/01/1972;1800;14;14;100;;18;1;10;
83944;29/01/1972;0000;13.8;13;92;;18;1;10;
83944;29/01/1972;1200;14.4;14.3;99;;9;1;10;
83944;29/01/1972;1800;17.9;15.7;80;;27;3;9;
83944;30/01/1972;0000;15.4;14.3;89;;27;1;7;
83944;30/01/1972;1200;18.9;15.9;73;;36;3;3;
83944;30/01/1972;1800;23.4;19.7;71;;18;1;5;
83944;31/01/1972;0000;17.9;16.5;86;;27;1;1;
83944;31/01/1972;1200;21.1;18.8;80;;36;3;1;
83944;31/01/1972;1800;26.5;20.6;58;;18;1;6;
83944;01/02/1972;0000;21.9;18.5;72;;36;8;5;
83944;01/02/1972;1200;22.4;19;72;;36;8;0;
83944;01/02/1972;1800;28.5;21.4;52;;32;3;6;
83944;02/02/1972;0000;18.1;17.2;91;;18;1;10;
83944;02/02/1972;1200;10.1;10.1;100;;27;1;10;
83944;02/02/1972;1800;17;12.4;57;;27;1;8;
83944;03/02/1972;0000;16.5;12.2;59;;23;1;0;
83944;03/02/1972;1200;15.7;12;64;;0;0;0;
83944;03/02/1972;1800;21;14.8;49;;0;0;1;
83944;04/02/1972;0000;15;12.5;74;;0;0;0;
83944;04/02/1972;1200;20;13.9;49;;9;1;0;
83944;04/02/1972;1800;24;16;41;;18;1;1;
83944;05/02/1972;0000;19.2;17;80;;18;1;0;
83944;05/02/1972;1200;19;15.4;68;;36;3;0;
83944;05/02/1972;1800;26.5;17.6;40;;0;0;0;
83944;06/02/1972;0000;20.4;18;79;;0;0;0;
83944;06/02/1972;1200;20.6;17.3;71;;36;1;0;
83944;06/02/1972;1800;28.5;19;39;;0;0;5;
83944;07/02/1972;0000;27.1;24.1;78;;0;0;0;
83944;07/02/1972;1200;22.5;19.1;72;;36;1;0;
83944;07/02/1972;1800;28.8;19.5;40;;9;1;3;
83944;08/02/1972;0000;21.6;17;63;;9;5;0;
83944;08/02/1972;1200;21.6;17;63;;36;5;0;
83944;08/02/1972;1800;29;19;37;;36;1;3;
83944;09/02/1972;0000;22.5;20.4;83;;9;1;9;
83944;09/02/1972;1200;23.4;19.9;72;;36;;4;
83944;09/02/1972;1800;22;20.5;88;;9;1;10;
83944;10/02/1972;0000;18;17.5;95;;0;0;10;
83944;10/02/1972;1200;19.7;18;85;;36;1;9;
83944;10/02/1972;1800;23.1;20;75;;27;7;10;
83944;11/02/1972;0000;18.8;18.5;97;;0;0;10;
83944;11/02/1972;1200;17.2;17.1;99;;14;1;10;
83944;11/02/1972;1800;17.9;17.5;96;;14;1;10;
83944;12/02/1972;0000;17.9;17.1;92;;0;0;5;
83944;12/02/1972;1200;19.1;18;89;;9;1;10;
83944;12/02/1972;1800;20.3;20;97;;9;1;10;
83944;13/02/1972;0000;18.9;18;91;;9;1;9;
83944;13/02/1972;1200;21.6;20;87;;36;3;8;
83944;13/02/1972;1800;23.8;22;86;;18;1;10;
83944;14/02/1972;0000;19.4;19;96;;0;0;10;
83944;14/02/1972;1200;18.1;18.1;100;;18;1;10;
83944;14/02/1972;1800;18.4;18.2;98;;18;1;10;
83944;15/02/1972;0000;16.9;16.9;100;;9;1;10;
83944;15/02/1972;1200;18.3;16;79;;9;1;4;
83944;15/02/1972;1800;21.9;18.7;74;;18;1;5;
83944;16/02/1972;0000;17.4;16;86;;9;1;3;
83944;16/02/1972;1200;19.4;16.1;71;;5;1;4;
83944;16/02/1972;1800;22.3;20.2;83;;14;1;4;
83944;17/02/1972;0000;20.1;18.6;87;;9;1;10;
83944;17/02/1972;1200;21;19.2;85;;36;1;8;
83944;17/02/1972;1800;19;18.7;97;;0;0;10;
83944;18/02/1972;0000;18.1;17.8;97;;5;1;9;
83944;18/02/1972;1200;18;17.6;96;;36;1;10;
83944;18/02/1972;1800;21.2;20.8;96;;18;1;10;
83944;19/02/1972;0000;18.4;17.9;95;;9;1;9;
83944;19/02/1972;1200;15.7;15.7;100;;18;3;10;
83944;19/02/1972;1800;16;16;100;;9;1;10;
83944;20/02/1972;0000;14.2;13.4;92;;18;1;10;
83944;20/02/1972;1200;16;14;80;;9;3;4;
83944;20/02/1972;1800;20.4;17.7;77;;18;1;5;
83944;21/02/1972;0000;21.1;19.5;86;;9;7;2;
83944;21/02/1972;1200;15.7;15.7;100;;18;3;10;
83944;21/02/1972;1800;16;16;100;;9;1;10;
83944;22/02/1972;0000;14.2;13.4;92;;18;1;10;
83944;22/02/1972;1200;17.4;16.2;88;;36;3;8;
83944;22/02/1972;1800;23.6;18.5;60;;23;1;4;
83944;23/02/1972;0000;17.6;17.4;98;;18;1;10;
83944;23/02/1972;1200;16;15.8;98;;9;1;10;
83944;23/02/1972;1800;20.9;17.7;73;;18;3;4;
83944;24/02/1972;0000;16.4;15.5;91;;18;1;5;
83944;24/02/1972;1200;18.5;16.9;85;;9;1;6;
83944;24/02/1972;1800;22;19;75;;18;3;3;
83944;25/02/1972;0000;18.2;17;88;;9;1;9;
83944;25/02/1972;1200;18.2;17.5;93;;36;1;9;
83944;25/02/1972;1800;21.9;20;84;;18;3;9;
83944;26/02/1972;0000;18.1;17.5;94;;9;1;9;
83944;26/02/1972;1200;15.4;15.1;97;;5;5;10;
83944;26/02/1972;1800;16.8;16;92;;9;3;10;
83944;27/02/1972;0000;14.4;13.6;92;;9;1;4;
83944;27/02/1972;1200;16.5;14.5;80;;14;1;1;
83944;27/02/1972;1800;19;16.9;81;;9;1;10;
83944;28/02/1972;0000;15.8;15.2;93;;9;1;9;
83944;28/02/1972;1200;15.8;15.1;92;;9;1;10;
83944;28/02/1972;1800;15.4;15.3;99;;18;1;10;
83944;29/02/1972;0000;15.1;15.1;100;;9;1;10;
83944;29/02/1972;1200;14.9;14.9;100;;18;3;10;
