<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83945</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SAO FRANCISCO DE PAULA - RS (OMM: 83945)
Latitude  (graus) : -29.33
Longitude (graus) : -50.51
Altitude  (metros): 922.00
Esta��o Desativada
Inicio de opera��o: 01/01/1912
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83945;01/01/1961;1200;23.5;19.5;68;;0;0;8;
83945;01/01/1961;1800;24;20;69;;14;2;9;
83945;02/01/1961;0000;18.5;17.5;90;;5;4;0;
83945;02/01/1961;1200;23.5;18.5;61;;0;0;1;
83945;02/01/1961;1800;26.5;20;54;;18;3;6;
83945;03/01/1961;0000;21.2;19.4;84;;0;0;5;
83945;03/01/1961;1200;20;19;91;;0;0;10;
83945;03/01/1961;1800;20.6;19.5;90;;14;2;10;
83945;04/01/1961;0000;15.7;15.5;98;;9;5;10;
83945;04/01/1961;1200;17;15.5;86;;5;3;10;
83945;04/01/1961;1800;20.5;17.5;74;;23;2;7;
83945;05/01/1961;0000;15.5;15;94;;9;3;0;
83945;05/01/1961;1200;19.5;17;78;;5;5;5;
83945;05/01/1961;1800;23.5;20;72;;5;5;6;
83945;06/01/1961;0000;18.5;17.6;91;;5;2;10;
83945;06/01/1961;1200;17.8;17.5;97;;36;3;10;
83945;06/01/1961;1800;18;17.5;95;;23;2;10;
83945;07/01/1961;0000;15;14.5;94;;23;1;10;
83945;07/01/1961;1200;18;14;64;;0;0;0;
83945;07/01/1961;1800;20.5;17;70;;23;3;4;
83945;08/01/1961;0000;13;12.5;94;;9;3;0;
83945;08/01/1961;1200;19.5;17;78;;5;2;0;
83945;08/01/1961;1800;25.5;20;60;;23;5;0;
83945;09/01/1961;0000;17;16;90;;5;6;0;
83945;09/01/1961;1200;20;17.5;78;;36;2;0;
83945;09/01/1961;1800;27.5;20.5;52;;23;3;5;
83945;10/01/1961;0000;19;18.5;95;;5;5;0;
83945;10/01/1961;1200;21;19;83;;32;5;10;
83945;10/01/1961;1800;21.5;18.6;76;;32;1;10;
83945;11/01/1961;0000;18;17.7;97;;0;0;10;
83945;11/01/1961;1200;18;17;90;;14;1;10;
83945;11/01/1961;1800;18;17.4;94;;14;2;10;
83945;12/01/1961;0000;15.5;14.5;89;;9;3;10;
83945;12/01/1961;1200;20;17.5;78;;5;3;0;
83945;12/01/1961;1800;26;21.5;66;;23;3;6;
83945;13/01/1961;0000;18.5;17.5;90;;5;4;0;
83945;13/01/1961;1200;20.5;18;78;;36;4;0;
83945;13/01/1961;1800;28.5;20;44;;32;1;5;
83945;14/01/1961;0000;22;21;90;;5;5;0;
83945;14/01/1961;1200;23;19.5;72;;32;4;4;
83945;14/01/1961;1800;27.5;22.5;64;;0;0;7;
83945;15/01/1961;0000;23.7;21;78;;0;0;4;
83945;15/01/1961;1200;24.7;21;71;;32;4;3;
83945;15/01/1961;1800;28.5;23;62;;0;0;9;
83945;16/01/1961;0000;22;21;91;;23;1;10;
83945;16/01/1961;1200;25.5;20.5;63;;32;4;1;
83945;16/01/1961;1800;29.5;23.7;60;;23;2;7;
83945;17/01/1961;0000;22;20;83;;5;2;10;
83945;17/01/1961;1200;23.5;19.5;68;;32;6;9;
83945;17/01/1961;1800;25;22.5;81;;0;0;10;
83945;18/01/1961;0000;18.5;18;95;;0;0;10;
83945;18/01/1961;1200;18;18;100;;14;3;10;
83945;18/01/1961;1800;22;20;83;;14;3;10;
83945;19/01/1961;0000;18.5;18;95;;9;5;10;
83945;19/01/1961;1200;21.5;20;87;;5;3;0;
83945;19/01/1961;1800;26.5;23.4;76;;23;2;9;
83945;20/01/1961;0000;19;18.5;95;;5;2;0;
83945;20/01/1961;1200;22.7;20.3;80;;36;1;0;
83945;20/01/1961;1800;28.5;20.5;47;;23;4;3;
83945;21/01/1961;0000;22.5;20.5;84;;23;1;0;
83945;21/01/1961;1200;22.5;21;88;;23;2;9;
83945;21/01/1961;1800;21.5;20.5;91;;23;3;10;
83945;22/01/1961;0000;19.4;19.2;98;;14;5;10;
83945;22/01/1961;1200;18;18;100;;23;2;10;
83945;22/01/1961;1800;19;18;90;;23;3;9;
83945;23/01/1961;0000;15;14.5;94;;9;2;0;
83945;23/01/1961;1200;16;13.5;75;;5;5;0;
83945;23/01/1961;1800;24;19;61;;23;1;3;
83945;24/01/1961;0000;15;14.5;94;;5;2;0;
83945;24/01/1961;1200;18.5;16.5;81;;36;2;2;
83945;24/01/1961;1800;24.5;17.5;48;;23;4;5;
83945;25/01/1961;0000;18.5;17.2;87;;0;0;0;
83945;25/01/1961;1200;17;17;100;;18;3;10;
83945;25/01/1961;1800;14.5;14.5;100;;14;2;10;
83945;26/01/1961;0000;12.5;12;94;;14;2;10;
83945;26/01/1961;1200;13.5;12.8;93;;14;2;10;
83945;26/01/1961;1800;15;13;79;;14;4;10;
83945;27/01/1961;0000;13;12;89;;14;3;10;
83945;27/01/1961;1200;16.5;14.4;79;;14;5;10;
83945;27/01/1961;1800;18.5;15;69;;14;4;5;
83945;28/01/1961;0000;13;12.5;94;;5;6;0;
83945;28/01/1961;1200;16;13.6;76;;5;4;5;
83945;28/01/1961;1800;21.4;16.5;60;;5;2;7;
83945;29/01/1961;0000;15.3;14.5;92;;5;5;10;
83945;29/01/1961;1200;18.2;16;79;;0;0;6;
83945;29/01/1961;1800;19.5;17;78;;5;2;3;
83945;30/01/1961;0000;16.5;15.5;90;;5;2;0;
83945;30/01/1961;1200;20;17;74;;32;1;3;
83945;30/01/1961;1800;24.5;19.5;62;;23;4;6;
83945;31/01/1961;0000;17.2;16;88;;23;5;0;
83945;31/01/1961;1200;20;17.5;78;;32;2;7;
83945;31/01/1961;1800;27;19.5;49;;23;1;5;
83945;01/02/1961;0000;19;17;82;;5;4;0;
83945;01/02/1961;1200;23.2;18.5;63;;36;2;0;
83945;01/02/1961;1800;29;22.5;56;;23;2;6;
83945;02/02/1961;0000;21.2;19.4;84;;0;0;10;
83945;02/02/1961;1200;21;18.5;79;;32;3;9;
83945;02/02/1961;1800;24;21.5;80;;23;2;10;
83945;03/02/1961;0000;19;18.7;97;;18;4;10;
83945;03/02/1961;1200;19;18;90;;14;3;10;
83945;03/02/1961;1800;20.5;19;87;;0;0;2;
83945;04/02/1961;0000;15;14.5;94;;5;1;4;
83945;04/02/1961;1200;19.5;17;78;;9;2;6;
83945;04/02/1961;1800;22;19.5;79;;14;1;9;
83945;05/02/1961;0000;17.5;16.5;90;;5;4;5;
83945;05/02/1961;1200;21.8;18.5;73;;36;3;2;
83945;05/02/1961;1800;20.5;19.5;90;;23;2;10;
83945;06/02/1961;0000;16.6;16.5;99;;0;0;3;
83945;06/02/1961;1200;22.5;20;79;;32;3;10;
83945;06/02/1961;1800;23.5;20.4;75;;0;0;9;
83945;07/02/1961;0000;19.5;19;95;;5;2;0;
83945;07/02/1961;1200;23.5;20;72;;27;4;8;
83945;07/02/1961;1800;21.5;20;87;;0;0;10;
83945;08/02/1961;0000;18.5;18;95;;0;0;10;
83945;08/02/1961;1200;19.5;18.5;90;;23;2;10;
83945;08/02/1961;1800;19;19;100;;14;3;10;
83945;09/02/1961;0000;17.5;17;95;;14;4;0;
83945;09/02/1961;1200;17;16;90;;5;3;9;
83945;09/02/1961;1800;23;19;68;;18;4;6;
83945;10/02/1961;0000;16.5;15.5;91;;5;9;0;
83945;10/02/1961;1200;22.5;19;71;;32;4;0;
83945;10/02/1961;1800;25;21;69;;0;0;10;
83945;11/02/1961;0000;19.5;19;95;;5;3;10;
83945;11/02/1961;1200;19.5;18.5;90;;23;2;10;
83945;11/02/1961;1800;21.5;19.5;83;;23;3;9;
83945;12/02/1961;0000;17.5;17;95;;18;1;0;
83945;12/02/1961;1200;21;13.5;41;;0;0;0;
83945;12/02/1961;1800;24;15.5;38;;23;2;0;
83945;13/02/1961;0000;18.5;15.5;72;;0;0;0;
83945;13/02/1961;1200;18.5;16.7;83;;23;3;9;
83945;13/02/1961;1800;17;17;100;;23;5;10;
83945;14/02/1961;0000;14.5;14.2;96;;14;2;10;
83945;14/02/1961;1200;17.5;14.5;71;;5;8;5;
83945;14/02/1961;1800;19;15;65;;5;7;8;
83945;15/02/1961;0000;14;12.5;84;;5;9;0;
83945;15/02/1961;1200;17.6;13.5;62;;5;6;0;
