<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83951</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : NOVO HAMBURGO - RS (OMM: 83951)
Latitude  (graus) : -29.96
Longitude (graus) : -51.13
Altitude  (metros): 35.00
Esta��o Fechada
Inicio de opera��o: 01/09/1975
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83951;01/01/1994;1200;27.2;21.8;60;;27;4;1;
83951;01/01/1994;1800;30.5;22.5;47;;23;10;3;
83951;02/01/1994;0000;24.5;20.5;67;;0;0;0;
83951;02/01/1994;1200;22.4;20.4;82;;0;0;10;
83951;02/01/1994;1800;25.8;20.2;57;;14;6;3;
83951;03/01/1994;0000;22;19;73;;9;10;1;
83951;03/01/1994;1200;21.2;18.6;76;;9;3;2;
83951;03/01/1994;1800;26.5;19.2;47;;9;4;3;
83951;04/01/1994;0000;20.5;17;68;;9;6;2;
83951;04/01/1994;1200;22.4;18.4;66;;0;0;0;
83951;04/01/1994;1800;28.6;21;47;;9;4;1;
83951;05/01/1994;0000;22;19.5;78;;0;0;0;
83951;05/01/1994;1200;24.5;20.8;70;;9;3;0;
83951;05/01/1994;1800;30;22.8;51;;14;4;3;
83951;06/01/1994;0000;24;20.4;70;;0;0;0;
83951;06/01/1994;1200;24.6;20.2;65;;0;0;0;
83951;06/01/1994;1800;31;23;48;;9;3;1;
83951;07/01/1994;0000;25;22;75;;9;3;0;
83951;07/01/1994;1200;26.4;22;66;;0;0;0;
83951;07/01/1994;1800;32.5;25.5;55;;0;0;4;
83951;08/01/1994;0000;27.4;24;74;;0;0;0;
83951;08/01/1994;1200;28.5;23.5;64;;32;10;9;
83951;08/01/1994;1800;23.5;21.8;85;;27;4;10;
83951;09/01/1994;0000;25;22.5;79;;0;0;9;
83951;09/01/1994;1200;20.4;19.8;94;;27;10;10;
83951;09/01/1994;1800;18;18;100;;0;0;10;
83951;10/01/1994;0000;16;16;100;;0;0;10;
83951;10/01/1994;1200;17.5;15;75;;27;8;5;
83951;10/01/1994;1800;22.4;16;48;;27;5;3;
83951;11/01/1994;0000;19.5;15.5;63;;0;0;0;
83951;11/01/1994;1200;20.4;17.8;76;;0;0;0;
83951;11/01/1994;1800;26.9;18.1;38;;0;0;0;
