<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83953</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : SANTANA DO LIVRAMENTO - RS (OMM: 83953)
Latitude  (graus) : -30.83
Longitude (graus) : -55.6
Altitude  (metros): 328.00
Esta��o Operante
Inicio de opera��o: 01/06/1912
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83953;01/01/1961;1200;24.4;21.5;76;;18;1;0;
83953;01/01/1961;1800;34.5;28.5;62;;18;1;0;
83953;02/01/1961;0000;29.7;26.4;76;;0;0;0;
83953;02/01/1961;1200;28;24.2;72;;18;1;10;
83953;02/01/1961;1800;31.1;25.2;60;;9;1;0;
83953;03/01/1961;0000;26.2;20.8;60;;0;0;0;
83953;03/01/1961;1200;24.4;19;58;;0;0;10;
83953;03/01/1961;1800;26.2;20.8;60;;18;1;10;
83953;04/01/1961;0000;20;16.9;72;;0;0;10;
83953;04/01/1961;1200;22.5;18.9;69;;0;0;0;
83953;04/01/1961;1800;29.5;21.2;45;;0;0;0;
83953;05/01/1961;0000;24.6;18;49;;0;0;0;
83953;05/01/1961;1200;22.5;17.8;60;;0;0;10;
83953;05/01/1961;1800;25.4;20.4;62;;0;0;10;
83953;06/01/1961;0000;23.5;19.3;65;;18;1;10;
83953;06/01/1961;1200;21;17.8;71;;18;1;10;
83953;06/01/1961;1800;28.5;20;42;;18;1;10;
83953;07/01/1961;0000;24.1;17.9;51;;0;0;10;
83953;07/01/1961;1200;20.5;16.4;63;;14;1;0;
83953;07/01/1961;1800;29.9;21.5;44;;18;1;0;
83953;08/01/1961;0000;23.8;20;69;;0;0;0;
83953;08/01/1961;1200;23.4;19.1;65;;18;1;0;
83953;08/01/1961;1800;34.6;26.2;50;;18;1;0;
83953;09/01/1961;0000;26.4;24.2;83;;0;0;0;
83953;09/01/1961;1200;28.8;23.7;63;;18;1;10;
83953;09/01/1961;1800;35.1;26.9;51;;36;3;10;
83953;10/01/1961;0000;31.1;24.4;55;;0;0;10;
83953;10/01/1961;1200;23;19.1;68;;18;3;10;
83953;10/01/1961;1800;26.4;21.5;63;;18;3;10;
83953;11/01/1961;0000;22.7;17.7;59;;0;0;10;
83953;11/01/1961;1200;22.5;16.4;50;;14;1;10;
83953;11/01/1961;1800;28.9;19.5;37;;9;1;10;
83953;12/01/1961;0000;24.5;18.9;56;;0;0;10;
83953;12/01/1961;1200;22.4;18.2;65;;18;1;0;
83953;12/01/1961;1800;32.5;23.4;44;;0;0;0;
83953;13/01/1961;0000;26.5;22.9;72;;0;0;0;
83953;13/01/1961;1200;27.7;24.6;77;;0;0;0;
83953;13/01/1961;1800;33.2;27.5;63;;14;1;10;
83953;14/01/1961;0000;29.5;24.7;66;;0;0;8;
