<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83954</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : TRIUNFO - RS (OMM: 83954)
Latitude  (graus) : -29.86
Longitude (graus) : -51.38
Altitude  (metros): 42.50
Esta��o Operante
Inicio de opera��o: 19/12/1978
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83954;01/06/1979;1200;8.2;5.6;64;;32;3;1;
83954;01/06/1979;1800;17.4;10.7;38;;32;3;3;
83954;02/06/1979;0000;10.4;8.2;72;;36;1;1;
83954;02/06/1979;1200;8.8;7;75;;36;1;1;
83954;02/06/1979;1800;20;14.6;52;;18;1;5;
83954;03/06/1979;0000;11.4;10.8;92;;36;1;3;
83954;03/06/1979;1200;11.4;9.8;81;;27;2;1;
83954;03/06/1979;1800;25.6;17.4;40;;0;0;3;
83954;04/06/1979;0000;16.9;14;71;;0;0;1;
83954;04/06/1979;1200;14.2;12.8;85;;27;3;7;
83954;04/06/1979;1800;15.4;14.8;94;;27;1;10;
83954;05/06/1979;0000;13.6;13.4;98;;14;3;10;
83954;05/06/1979;1200;10.4;9.2;84;;18;3;10;
83954;05/06/1979;1800;12.1;10.1;76;;14;3;10;
83954;06/06/1979;0000;8.8;8;89;;0;0;5;
83954;06/06/1979;1200;7.8;6.2;78;;36;1;2;
83954;06/06/1979;1800;12.8;9.9;67;;18;4;9;
83954;07/06/1979;0000;11.4;9.8;81;;14;1;10;
83954;07/06/1979;1200;10.8;10;90;;18;3;10;
83954;07/06/1979;1800;11.8;10.8;88;;18;4;10;
83954;08/06/1979;0000;10.9;10.4;94;;9;1;10;
83954;08/06/1979;1200;11.3;10.4;89;;27;3;10;
83954;08/06/1979;1800;15.9;12.4;63;;27;1;3;
83954;09/06/1979;0000;10.2;9.2;86;;32;3;1;
83954;09/06/1979;1200;8.4;8.3;98;;32;1;10;
83954;09/06/1979;1800;;;49;;27;7;1;
83954;10/06/1979;0000;9.6;8.3;83;;9;1;1;
