<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83956</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : DOM PEDRITO - RS (OMM: 83956)
Latitude  (graus) : -30.98
Longitude (graus) : -54.66
Altitude  (metros): 140.00
Esta��o Desativada
Inicio de opera��o: 01/01/1911
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83956;01/01/1961;1200;20;19;91;;0;0;0;
83956;01/01/1961;1800;32.5;24;47;;0;0;8;
83956;02/01/1961;0000;30;23.6;57;;0;0;0;
83956;02/01/1961;1200;28;23.5;67;;0;0;0;
83956;02/01/1961;1800;31.5;23;46;;18;3;4;
83956;03/01/1961;0000;28.5;22.6;58;;0;0;0;
83956;03/01/1961;1200;22;18.5;70;;0;0;8;
83956;03/01/1961;1800;30.5;19.6;32;;18;5;10;
83956;04/01/1961;0000;21;17.5;69;;18;3;10;
83956;04/01/1961;1200;22.5;18.2;64;;0;0;0;
83956;04/01/1961;1800;30;20;36;;0;0;6;
83956;05/01/1961;0000;25;19;54;;0;0;0;
83956;05/01/1961;1200;26;21;62;;36;5;10;
83956;05/01/1961;1800;30;25.1;66;;0;0;10;
83956;06/01/1961;0000;27.4;22;61;;0;0;10;
83956;06/01/1961;1200;21.5;18.5;74;;0;0;10;
83956;06/01/1961;1800;28;20;45;;18;5;10;
83956;07/01/1961;0000;25;18.4;50;;0;0;0;
83956;07/01/1961;1200;19.8;14.1;50;;36;1;0;
83956;07/01/1961;1800;30.5;20;34;;0;0;0;
83956;08/01/1961;0000;28;19.5;42;;0;0;0;
83956;08/01/1961;1200;23.1;17.5;54;;0;0;0;
83956;08/01/1961;1800;34;23;36;;36;1;0;
83956;09/01/1961;0000;30;22.4;49;;0;0;0;
83956;09/01/1961;1200;28;21.5;54;;36;3;8;
83956;09/01/1961;1800;36.1;26;43;;36;5;8;
83956;10/01/1961;0000;32;23.6;47;;36;1;0;
83956;10/01/1961;1200;21.5;20.5;91;;0;0;10;
83956;10/01/1961;1800;28.5;20.5;45;;0;0;7;
83956;11/01/1961;0000;24;17.5;49;;0;0;0;
83956;11/01/1961;1200;22;17.5;62;;5;3;0;
83956;11/01/1961;1800;29.5;20;38;;0;0;9;
83956;12/01/1961;0000;25.5;19.8;57;;36;1;0;
83956;12/01/1961;1200;21.6;19.1;78;;36;1;0;
83956;12/01/1961;1800;32;24.1;50;;36;1;0;
83956;13/01/1961;0000;28;23.5;67;;0;0;0;
83956;13/01/1961;1200;30;24;59;;36;1;2;
83956;13/01/1961;1800;34.5;25.6;47;;36;3;8;
83956;14/01/1961;0000;31;24.5;57;;32;1;0;
83956;14/01/1961;1200;28.5;23.6;65;;36;3;10;
83956;14/01/1961;1800;33.5;25;48;;23;5;10;
83956;15/01/1961;0000;29.8;24.5;63;;32;1;10;
83956;15/01/1961;1200;24;21.5;79;;18;3;10;
83956;15/01/1961;1800;31.5;25.5;60;;18;7;10;
83956;16/01/1961;0000;26;23.6;81;;0;0;10;
83956;16/01/1961;1200;27.5;24.5;77;;36;1;10;
83956;16/01/1961;1800;34;27;56;;36;1;10;
83956;17/01/1961;0000;29.5;25.4;70;;0;0;6;
83956;17/01/1961;1200;21.6;21.4;98;;0;0;10;
83956;17/01/1961;1800;24;21.5;79;;0;0;10;
83956;18/01/1961;0000;20;19.5;95;;18;1;10;
83956;18/01/1961;1200;23.2;20;74;;0;0;10;
83956;18/01/1961;1800;30.5;23.6;54;;36;1;10;
83956;19/01/1961;0000;25;21.5;72;;5;1;10;
83956;19/01/1961;1200;25.5;22.6;77;;36;1;6;
83956;19/01/1961;1800;33.6;27;58;;36;1;8;
83956;20/01/1961;0000;30;25.9;71;;0;0;0;
83956;20/01/1961;1200;28.2;25;76;;36;3;0;
83956;20/01/1961;1800;35.5;26.8;49;;32;3;10;
83956;21/01/1961;0000;30;26;72;;0;0;10;
83956;21/01/1961;1200;26;24.6;89;;0;0;10;
83956;21/01/1961;1800;29.5;25.5;71;;18;3;10;
83956;22/01/1961;0000;25.2;21.5;71;;23;1;10;
83956;22/01/1961;1200;21.5;18.5;74;;0;0;10;
