<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83961</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : CAMPO BOM - RS (OMM: 83961)
Latitude  (graus) : -29.68
Longitude (graus) : -51.05
Altitude  (metros): 25.80
Esta��o Operante
Inicio de opera��o: 01/09/1984
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83961;01/01/1985;1200;25.1;22.4;78;;0;0;8;
83961;01/01/1985;1800;31;25.8;65;;14;3;4;
83961;02/01/1985;0000;23.5;21.4;82;;0;0;0;
83961;02/01/1985;1200;22.2;20.3;83;;0;0;7;
83961;02/01/1985;1800;32.2;23;43;;0;0;3;
83961;03/01/1985;0000;22.8;20.4;79;;0;0;0;
83961;03/01/1985;1200;23.1;19.3;68;;0;0;2;
83961;03/01/1985;1800;31.4;20.3;32;;0;0;3;
83961;04/01/1985;0000;22.8;20;76;;0;0;0;
83961;04/01/1985;1200;25;20.1;62;;0;0;2;
83961;04/01/1985;1800;33.4;23.3;40;;0;0;3;
83961;05/01/1985;0000;25.8;22.2;72;;0;0;0;
83961;05/01/1985;1200;26.8;21.9;63;;0;0;4;
83961;05/01/1985;1800;36;24.8;37;;9;1;5;
83961;06/01/1985;0000;25.4;23.2;82;;0;0;10;
83961;06/01/1985;1200;27.6;23.6;70;;0;0;2;
83961;06/01/1985;1800;34.5;25.2;45;;0;0;9;
83961;07/01/1985;0000;23.2;22.6;95;;0;0;10;
83961;07/01/1985;1200;25.1;22.4;78;;27;2;10;
83961;07/01/1985;1800;26.4;23.3;76;;14;2;10;
83961;08/01/1985;0000;23.4;20.8;78;;0;0;10;
83961;08/01/1985;1200;21.4;18.2;72;;14;2;6;
83961;08/01/1985;1800;27.2;20.2;50;;14;2;4;
83961;09/01/1985;0000;21.1;18.4;76;;0;0;0;
83961;09/01/1985;1200;21;18.1;74;;5;2;2;
83961;09/01/1985;1800;28.2;19.1;38;;18;2;0;
83961;10/01/1985;0000;20.9;17.2;67;;0;0;0;
83961;10/01/1985;1200;21.2;18.1;72;;0;0;0;
83961;10/01/1985;1800;32.3;20.4;30;;0;0;0;
83961;11/01/1985;0000;25.9;20.6;60;;0;0;0;
83961;11/01/1985;1200;26;21.1;63;;0;0;0;
83961;11/01/1985;1800;36.8;22.5;25;;23;2;3;
83961;12/01/1985;0000;27.2;20.1;49;;23;4;2;
83961;12/01/1985;1200;23;20.9;82;;0;0;10;
83961;12/01/1985;1800;29.2;22.6;54;;0;0;10;
83961;13/01/1985;0000;25;22.4;79;;0;0;0;
83961;13/01/1985;1200;25.4;22.6;77;;9;4;4;
83961;13/01/1985;1800;31.1;19;27;;14;5;2;
83961;14/01/1985;0000;23;20.6;79;;36;1;0;
83961;14/01/1985;1200;25.4;21.3;68;;0;0;7;
83961;14/01/1985;1800;35;24.1;38;;0;0;2;
83961;15/01/1985;0000;26.5;21.8;64;;0;0;0;
83961;15/01/1985;1200;27.1;22.2;63;;0;0;10;
83961;15/01/1985;1800;23;22.1;92;;0;0;10;
83961;16/01/1985;0000;23.8;22.9;92;;0;0;8;
83961;16/01/1985;1200;24.2;21;74;;0;0;2;
83961;16/01/1985;1800;28.2;20.3;45;;0;0;2;
83961;17/01/1985;0000;21.3;18.2;73;;0;0;0;
83961;17/01/1985;1200;22.2;19;72;;5;1;4;
83961;17/01/1985;1800;27.1;19.4;45;;14;2;4;
83961;18/01/1985;0000;20.2;17.4;74;;0;0;0;
83961;18/01/1985;1200;22.1;18.4;68;;0;0;1;
83961;18/01/1985;1800;27.1;21.1;56;;14;4;5;
83961;19/01/1985;0000;21;18.5;77;;0;0;0;
83961;19/01/1985;1200;23;19.5;71;;0;0;0;
83961;19/01/1985;1800;32.4;23.2;43;;14;2;0;
83961;20/01/1985;0000;25;22.2;77;;0;0;0;
83961;20/01/1985;1200;25.5;21.4;68;;18;2;7;
83961;20/01/1985;1800;34.2;25.2;46;;5;3;7;
83961;21/01/1985;0000;26;22.7;74;;0;0;7;
83961;21/01/1985;1200;25.3;21.4;69;;0;0;3;
83961;21/01/1985;1800;35.4;24.2;37;;0;0;7;
83961;22/01/1985;0000;25.3;22.8;80;;0;0;3;
83961;22/01/1985;1200;25;22.3;78;;0;0;10;
83961;22/01/1985;1800;27.4;23.2;69;;23;4;10;
83961;23/01/1985;0000;22.1;20.9;89;;5;1;2;
83961;23/01/1985;1200;24.1;21.2;76;;0;0;2;
83961;23/01/1985;1800;26.4;22;66;;0;0;10;
83961;24/01/1985;0000;21.5;19.1;79;;9;2;10;
83961;24/01/1985;1200;22.3;20;80;;9;1;10;
83961;24/01/1985;1800;30;23.2;54;;14;3;4;
83961;25/01/1985;0000;22.8;20.4;79;;0;0;2;
83961;25/01/1985;1200;24.4;20.4;68;;9;2;0;
83961;25/01/1985;1800;33.2;24.1;44;;18;6;4;
83961;26/01/1985;0000;24.3;20.9;72;;9;2;7;
83961;26/01/1985;1200;25.7;21.2;65;;0;0;6;
83961;26/01/1985;1800;28.4;22.5;58;;14;2;10;
83961;27/01/1985;0000;22.5;21.7;93;;0;0;10;
83961;27/01/1985;1200;23.5;22.1;88;;0;0;10;
83961;27/01/1985;1800;28.5;23.4;63;;9;4;5;
83961;28/01/1985;0000;21.8;21;93;;0;0;10;
83961;28/01/1985;1200;24;21.4;78;;0;0;1;
83961;28/01/1985;1800;30;23.3;55;;27;4;8;
83961;29/01/1985;0000;24;22.8;90;;0;0;10;
83961;29/01/1985;1200;21.4;20.3;90;;0;0;10;
83961;29/01/1985;1800;29;22.1;52;;23;4;6;
83961;30/01/1985;0000;22.4;19.8;77;;5;2;0;
83961;30/01/1985;1200;23.2;20.4;76;;23;2;2;
83961;30/01/1985;1800;30.3;23.4;54;;5;2;7;
83961;31/01/1985;0000;23.4;20.6;76;;0;0;3;
83961;31/01/1985;1200;23.8;21.6;81;;0;0;10;
83961;31/01/1985;1800;30.5;25.2;64;;14;5;9;
83961;01/02/1985;0000;24;22.2;85;;9;2;10;
83961;01/02/1985;1200;26.2;23.3;77;;0;0;4;
83961;01/02/1985;1800;34.5;25.2;45;;9;2;9;
83961;02/02/1985;0000;25.2;23.5;86;;0;0;4;
83961;02/02/1985;1200;25.4;23.4;84;;23;2;6;
83961;02/02/1985;1800;35.2;25.4;43;;5;2;3;
83961;03/02/1985;0000;27.2;23.7;73;;0;0;1;
83961;03/02/1985;1200;27.7;23.8;71;;23;1;6;
83961;03/02/1985;1800;26.3;24.8;88;;0;0;10;
83961;04/02/1985;0000;23.1;21.8;89;;0;0;10;
83961;04/02/1985;1200;24.1;22;82;;0;0;10;
83961;04/02/1985;1800;28.3;24.2;70;;0;0;9;
83961;05/02/1985;0000;23.4;20.5;76;;5;1;1;
83961;05/02/1985;1200;22.1;19.8;80;;0;0;3;
83961;05/02/1985;1800;30.3;20;35;;23;4;0;
83961;06/02/1985;0000;22.2;17.4;60;;0;0;0;
83961;06/02/1985;1200;21.1;17.6;69;;0;0;0;
83961;06/02/1985;1800;33.4;21.1;29;;0;0;0;
83961;07/02/1985;0000;24;20.1;68;;0;0;2;
