<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83966</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : TAPES - RS (OMM: 83966)
Latitude  (graus) : -30.83
Longitude (graus) : -51.58
Altitude  (metros): 5.00
Esta��o Desativada
Inicio de opera��o: 01/01/1923
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83966;01/01/1961;1200;26.4;23.4;76;;14;1;5;
83966;01/01/1961;1800;29.7;24.8;64;;5;3;4;
83966;02/01/1961;0000;25.3;22.4;77;;5;7;0;
83966;02/01/1961;1200;27.2;22.7;67;;9;1;0;
83966;02/01/1961;1800;28;23;64;;5;1;9;
83966;03/01/1961;0000;26.1;23.5;79;;14;1;4;
83966;03/01/1961;1200;25.2;21.6;72;;9;3;7;
83966;03/01/1961;1800;27.7;20.2;47;;9;3;5;
83966;04/01/1961;0000;23.8;19.2;65;;9;1;10;
83966;04/01/1961;1200;24.1;19.2;61;;5;1;7;
83966;04/01/1961;1800;27.7;21.5;55;;9;1;0;
83966;05/01/1961;0000;23.7;17.9;56;;5;3;0;
83966;05/01/1961;1200;25;20.2;63;;9;3;0;
83966;05/01/1961;1800;28.2;21.6;54;;5;5;0;
83966;06/01/1961;0000;24.7;22;78;;5;7;9;
83966;06/01/1961;1200;23.4;21.7;86;;14;1;10;
83966;06/01/1961;1800;25.5;21.4;67;;14;1;10;
83966;07/01/1961;0000;20.8;16.8;67;;14;3;8;
83966;07/01/1961;1200;21.6;16.3;55;;9;1;2;
83966;07/01/1961;1800;24.8;17.6;46;;9;3;0;
83966;08/01/1961;0000;21.5;17;61;;5;3;0;
83966;08/01/1961;1200;24.5;19;57;;9;1;0;
83966;08/01/1961;1800;26.3;21.2;61;;5;7;0;
83966;09/01/1961;0000;23.2;20;74;;5;7;0;
83966;09/01/1961;1200;25.5;21.5;68;;9;1;0;
83966;09/01/1961;1800;28.2;23.7;67;;9;5;3;
83966;10/01/1961;0000;24.4;22;80;;5;7;0;
83966;10/01/1961;1200;21;20;91;;14;1;10;
83966;10/01/1961;1800;26.1;22.7;73;;9;1;10;
83966;11/01/1961;0000;22.5;16.7;53;;14;5;8;
83966;11/01/1961;1200;24.6;19.4;59;;14;1;0;
83966;11/01/1961;1800;27.2;20.5;52;;9;1;3;
83966;12/01/1961;0000;22;17.6;63;;14;3;0;
83966;12/01/1961;1200;25;21;68;;9;3;10;
83966;12/01/1961;1800;28;22.7;62;;9;3;0;
83966;13/01/1961;0000;24.7;22.2;80;;5;5;2;
83966;13/01/1961;1200;28.2;23.1;64;;9;1;0;
83966;13/01/1961;1800;30.2;24.6;62;;9;3;3;
83966;14/01/1961;0000;25.8;23.6;83;;9;3;0;
83966;14/01/1961;1200;28.5;23;61;;9;3;10;
83966;14/01/1961;1800;35.6;25.2;41;;9;1;10;
83966;15/01/1961;0000;27.7;25;79;;14;1;9;
83966;15/01/1961;1200;29.2;24.6;68;;14;1;10;
83966;15/01/1961;1800;37.7;25.6;35;;9;1;10;
83966;16/01/1961;0000;28.4;25.1;76;;9;3;7;
83966;16/01/1961;1200;29;26;78;;9;1;3;
83966;16/01/1961;1800;32.2;26.2;61;;9;3;7;
83966;17/01/1961;0000;27.4;25;81;;9;3;8;
83966;17/01/1961;1200;28.5;23.5;64;;9;3;10;
83966;17/01/1961;1800;24.4;22;80;;9;1;10;
83966;18/01/1961;0000;24.4;21.5;76;;9;3;9;
83966;18/01/1961;1200;24.8;20.6;67;;9;3;10;
83966;18/01/1961;1800;27;22.2;64;;9;3;8;
83966;19/01/1961;0000;24;20.8;73;;5;3;9;
83966;19/01/1961;1200;26.4;23.2;75;;5;3;7;
83966;19/01/1961;1800;30;25.2;66;;9;3;3;
83966;20/01/1961;0000;26;24;84;;5;5;5;
83966;20/01/1961;1200;27.5;24.2;75;;5;3;3;
83966;20/01/1961;1800;31.5;26.5;66;;5;3;3;
83966;21/01/1961;0000;28;25.5;81;;5;1;7;
83966;21/01/1961;1200;24.6;23.2;89;;9;1;10;
83966;21/01/1961;1800;26.5;24.2;82;;9;3;10;
83966;22/01/1961;0000;24.5;21.9;78;;14;3;8;
83966;22/01/1961;1200;24.6;19.8;62;;14;5;8;
83966;22/01/1961;1800;27;21.5;59;;14;1;10;
83966;23/01/1961;0000;22.6;19;70;;14;3;4;
83966;23/01/1961;1200;23.6;19;63;;9;3;4;
83966;23/01/1961;1800;27;21.7;61;;9;3;5;
83966;24/01/1961;0000;23.5;21;79;;9;5;0;
83966;24/01/1961;1200;24.7;21.5;74;;23;1;3;
83966;24/01/1961;1800;29.6;24.7;65;;14;5;5;
83966;25/01/1961;0000;22.8;20;76;;14;3;10;
83966;25/01/1961;1200;22.3;18.7;70;;14;5;10;
83966;25/01/1961;1800;22.7;18.4;64;;14;3;10;
83966;26/01/1961;0000;21.6;18;69;;9;3;10;
83966;26/01/1961;1200;22.4;19.2;73;;14;3;8;
83966;26/01/1961;1800;25.2;21;67;;14;3;5;
83966;27/01/1961;0000;21.5;18.3;72;;14;7;10;
83966;27/01/1961;1200;24.5;20.4;67;;9;3;7;
83966;27/01/1961;1800;27;21.2;57;;9;1;3;
83966;28/01/1961;0000;22.4;18.8;69;;14;3;3;
83966;28/01/1961;1200;23.7;20.2;71;;5;3;3;
83966;28/01/1961;1800;26.5;22;66;;9;3;3;
83966;29/01/1961;0000;23;20.2;77;;9;3;5;
83966;29/01/1961;1200;23.7;20.6;74;;5;1;8;
83966;29/01/1961;1800;28.2;23.2;64;;9;3;7;
83966;30/01/1961;0000;24.2;21.5;78;;5;5;3;
83966;30/01/1961;1200;26;22.5;73;;9;1;0;
83966;30/01/1961;1800;30.8;24.5;58;;9;1;2;
83966;31/01/1961;0000;25;22.6;81;;5;5;0;
83966;31/01/1961;1200;27;23.8;75;;9;1;0;
83966;31/01/1961;1800;31.5;24.5;54;;9;1;5;
83966;01/02/1961;0000;27;24.5;81;;9;1;5;
83966;01/02/1961;1200;24.5;21;71;;14;5;8;
83966;01/02/1961;1800;29.8;25.5;69;;9;3;3;
83966;02/02/1961;0000;27.5;25.5;84;;14;3;10;
83966;02/02/1961;1200;23.6;21.6;83;;14;1;8;
83966;02/02/1961;1800;29.2;24.4;66;;14;1;8;
83966;03/02/1961;0000;24.8;21.5;73;;14;3;10;
83966;03/02/1961;1200;26.2;22.5;72;;14;1;7;
83966;03/02/1961;1800;30.2;24.6;62;;14;3;5;
83966;04/02/1961;0000;24.4;21.8;78;;14;3;3;
83966;04/02/1961;1200;26.4;21.4;62;;9;1;3;
83966;04/02/1961;1800;29.7;23.7;58;;9;1;2;
83966;05/02/1961;0000;24.2;20.8;72;;9;5;3;
83966;05/02/1961;1200;25.8;22.6;75;;5;3;5;
83966;05/02/1961;1800;29.2;24.7;68;;5;5;5;
83966;06/02/1961;0000;25;22.3;78;;5;5;2;
83966;06/02/1961;1200;25.2;22.6;80;;5;1;10;
83966;06/02/1961;1800;30.6;26;68;;9;1;10;
83966;07/02/1961;0000;24.4;22.9;87;;5;1;10;
83966;07/02/1961;1200;24.2;22.7;88;;14;1;10;
83966;07/02/1961;1800;30.4;24.8;62;;9;1;10;
83966;08/02/1961;0000;26.5;24.2;82;;9;1;0;
83966;08/02/1961;1200;25.1;21.6;72;;14;1;10;
83966;08/02/1961;1800;27.4;22;61;;9;3;4;
83966;09/02/1961;0000;22.3;18.7;70;;14;5;0;
83966;09/02/1961;1200;24.6;20.8;69;;9;1;5;
83966;09/02/1961;1800;28.6;22.6;58;;9;3;5;
83966;10/02/1961;0000;24;20;68;;5;7;2;
83966;10/02/1961;1200;26.2;22.5;72;;9;1;0;
83966;10/02/1961;1800;29.5;25;68;;5;5;3;
83966;11/02/1961;0000;25.6;23.3;81;;5;5;10;
83966;11/02/1961;1200;24.6;21.8;77;;14;1;10;
83966;11/02/1961;1800;28.6;24;66;;14;3;5;
83966;12/02/1961;0000;22.5;20.2;80;;14;1;0;
83966;12/02/1961;1200;24.6;19.2;58;;9;1;0;
