<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83972</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : TEUTONIA - RS (OMM: 83972)
Latitude  (graus) : -29.45
Longitude (graus) : -51.8
Altitude  (metros): 63.22
Esta��o Desativada
Inicio de opera��o: 04/10/1998
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83972;04/11/1998;1200;21.8;19.2;77;;0;0;2;
83972;04/11/1998;1800;27;20.2;51;;23;1;4;
83972;05/11/1998;0000;19.6;18.6;90;;14;1;0;
83972;05/11/1998;1200;20;18.6;86;;0;0;1;
83972;05/11/1998;1800;29.4;21.4;46;;18;1;2;
83972;06/11/1998;0000;22;18.6;70;;9;1;1;
83972;06/11/1998;1200;21.6;19.4;80;;14;1;1;
83972;06/11/1998;1800;30;23.2;54;;14;1;1;
83972;07/11/1998;0000;22.4;19.6;75;;0;0;0;
83972;07/11/1998;1200;19.8;19.2;94;;5;5;10;
83972;07/11/1998;1800;25.6;22;71;;0;0;10;
83972;08/11/1998;0000;21.4;20;87;;14;3;9;
83972;08/11/1998;1200;18.8;17.6;88;;9;3;10;
83972;08/11/1998;1800;22.2;18.4;67;;14;5;8;
83972;09/11/1998;0000;18.4;15.2;69;;14;3;10;
83972;09/11/1998;1200;19.4;16;68;;14;1;1;
83972;09/11/1998;1800;24.7;18.5;52;;9;1;1;
83972;10/11/1998;0000;18;15.6;76;;9;3;6;
83972;10/11/1998;1200;18.8;16.7;79;;5;3;10;
83972;10/11/1998;1800;22;18.6;70;;9;3;10;
83972;11/11/1998;0000;17.6;15.7;81;;9;3;10;
83972;11/11/1998;1200;20.6;17.2;69;;9;3;2;
83972;11/11/1998;1800;26.8;20.6;54;;14;1;10;
83972;12/11/1998;0000;20.4;17.7;75;;0;0;0;
83972;12/11/1998;1200;23.4;18.2;58;;36;1;1;
83972;12/11/1998;1800;30;20.8;40;;0;0;2;
83972;13/11/1998;0000;23;19.8;73;;0;0;0;
83972;13/11/1998;1200;25.6;23;79;;36;3;3;
83972;13/11/1998;1800;29.2;22.6;54;;27;3;8;
83972;14/11/1998;0000;18.8;17.6;88;;9;1;0;
83972;14/11/1998;1200;26.4;20;52;;36;1;0;
83972;14/11/1998;1800;33.4;23.8;42;;0;0;2;
83972;15/11/1998;0000;23.8;20.5;72;;0;0;0;
83972;15/11/1998;1200;26.6;21;58;;0;0;1;
83972;15/11/1998;1800;34.8;32.8;86;;36;1;1;
83972;16/11/1998;0000;23.8;19.4;64;;9;1;0;
