<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83983</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : PIRATINI - RS (OMM: 83983)
Latitude  (graus) : -31.43
Longitude (graus) : -53.1
Altitude  (metros): 345.00
Esta��o Desativada
Inicio de opera��o: 01/01/1916
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83983;01/01/1961;1200;26.2;21.3;64;;9;4;1;
83983;01/01/1961;1800;31;22.6;47;;5;2;5;
83983;02/01/1961;0000;24.5;20.4;68;;9;4;1;
83983;02/01/1961;1200;26.7;22.2;66;;5;2;1;
83983;02/01/1961;1800;26.5;23;73;;18;4;9;
83983;03/01/1961;0000;19.6;16.6;73;;14;4;0;
83983;03/01/1961;1200;22.7;18;62;;18;4;0;
83983;03/01/1961;1800;27.2;19.2;45;;18;6;4;
83983;04/01/1961;0000;18.5;16.8;83;;9;2;10;
83983;04/01/1961;1200;23.1;17.2;53;;0;0;0;
83983;04/01/1961;1800;28.9;19;36;;18;1;5;
83983;05/01/1961;0000;20.2;16.5;68;;9;4;0;
83983;05/01/1961;1200;24;16;40;;9;5;2;
83983;05/01/1961;1800;28.6;18.8;37;;9;6;10;
83983;06/01/1961;0000;22;18.7;72;;9;4;10;
83983;06/01/1961;1200;20.9;17.6;72;;23;2;9;
83983;06/01/1961;1800;26.5;19.2;48;;18;4;7;
83983;07/01/1961;0000;16.2;13;68;;18;4;0;
83983;07/01/1961;1200;18.3;14.1;62;;9;3;0;
83983;07/01/1961;1800;25.5;17.3;41;;5;1;0;
83983;08/01/1961;0000;19.2;15;63;;9;6;0;
83983;08/01/1961;1200;22;17.4;62;;9;3;0;
83983;08/01/1961;1800;31;22;44;;0;0;3;
83983;09/01/1961;0000;23;18.2;62;;9;6;2;
83983;09/01/1961;1200;26.2;20.5;59;;9;3;2;
83983;09/01/1961;1800;33.9;23.3;39;;36;3;5;
83983;10/01/1961;0000;24.5;20.1;65;;9;4;0;
83983;10/01/1961;1200;18.7;18.5;98;;9;1;10;
83983;10/01/1961;1800;26.7;20.7;57;;27;4;9;
83983;11/01/1961;0000;18.7;15.2;68;;14;2;0;
83983;11/01/1961;1200;20.4;17.1;72;;9;3;2;
83983;11/01/1961;1800;26.4;19.3;50;;9;3;2;
83983;12/01/1961;0000;18;16.1;81;;9;4;1;
83983;12/01/1961;1200;22.5;19.2;72;;9;4;0;
83983;12/01/1961;1800;29.1;23.3;60;;9;2;5;
