<html><meta http-equiv="Content-Type" content="text/html; charset=iso-8859-1">
<head>
<title>Esta��o - 83995</title>
   <!-- FACE BOX -->
   <script src="facebox/js/jquery.js" type="text/javascript"></script>
   <link href="facebox/styles/facebox.css" media="screen" rel="stylesheet" type="text/css" >

   <script src="facebox/js/facebox.js" type="text/javascript"></script>
   <script type="text/javascript">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type="text/javascript">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informa��es
         var a_false = document.createElement("A");
         a_false.rel = "lightbox";
         a_false.href = src;
         //chamando a fun��o do lightbox respons�vel pelo in�cio das a��es
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Esta��o           : RIO GRANDE - RS (OMM: 83995)
Latitude  (graus) : -32.03
Longitude (graus) : -52.11
Altitude  (metros): 2.46
Esta��o Operante
Inicio de opera��o: 01/01/1912
Periodo solicitado dos dados: 01/01/1900 a 30/09/2019
Os dados listados abaixo s�o os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v�rgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instru��es</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83995;01/01/1961;1200;25.2;24.2;92;1006.4;5;2;10;
83995;01/01/1961;1800;30.6;27;74;1004.7;5;1;1;
83995;02/01/1961;0000;23.6;23.2;97;1003.6;5;8;0;
83995;02/01/1961;1200;26.4;25.2;91;1004.7;5;3;3;
83995;02/01/1961;1800;28;26;85;1005;23;6;10;
83995;03/01/1961;0000;23.4;22.2;90;1005.2;14;2;3;
83995;03/01/1961;1200;23.8;21.4;80;1008.3;14;2;3;
83995;03/01/1961;1800;24.2;21.6;79;1009.6;14;2;9;
83995;04/01/1961;0000;21.8;20.6;90;1008;5;1;10;
83995;04/01/1961;1200;24.2;20.8;72;1009.1;5;1;1;
83995;04/01/1961;1800;27.6;22.4;61;1007.4;14;1;1;
83995;05/01/1961;0000;23;21.6;88;1009;5;1;0;
83995;05/01/1961;1200;24.6;22;79;1009.4;5;1;1;
83995;05/01/1961;1800;27.4;23.6;72;1006.4;5;3;10;
83995;06/01/1961;0000;23;22.4;95;1005.2;5;4;10;
83995;06/01/1961;1200;22.6;21.6;91;1002;23;3;10;
83995;06/01/1961;1800;23;21.8;89;1004;23;8;3;
83995;07/01/1961;0000;19;16.4;75;1009.6;23;4;8;
83995;07/01/1961;1200;20.4;17;70;1013.6;5;3;6;
83995;07/01/1961;1800;23.2;19.6;71;1011.1;5;3;2;
83995;08/01/1961;0000;20.8;18.8;82;1011;5;5;0;
83995;08/01/1961;1200;23.4;20.8;78;1012.2;5;4;6;
83995;08/01/1961;1800;26;23.8;82;1010.2;5;6;10;
83995;09/01/1961;0000;23.4;20.8;78;1009.6;5;5;7;
